통계표,"4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)"
항목명1,"무담보콜금리 전체","담보콜금리전체"
단위,"연%","연%"
변환,"원자료","원자료"
1996/12,"12.51",""
1997/01,"11.39",""
1997/02,"11.49",""
1997/03,"12.95",""
1997/04,"13.00",""
1997/05,"12.45",""
1997/06,"11.19",""
1997/07,"11.44",""
1997/08,"12.45",""
1997/09,"13.25",""
1997/10,"13.64",""
1997/11,"14.09",""
1997/12,"21.58",""
1998/01,"25.63",""
1998/02,"23.53",""
1998/03,"22.62",""
1998/04,"21.23",""
1998/05,"18.45",""
1998/06,"16.25",""
1998/07,"12.67",""
1998/08,"9.53",""
1998/09,"8.43",""
1998/10,"7.27",""
1998/11,"7.24",""
1998/12,"6.96",""
1999/01,"6.35",""
1999/02,"5.65",""
1999/03,"5.03",""
1999/04,"4.82",""
1999/05,"4.80",""
1999/06,"4.81",""
1999/07,"4.84",""
1999/08,"4.75",""
1999/09,"4.74",""
1999/10,"4.75",""
1999/11,"4.75",""
1999/12,"4.77",""
2000/01,"4.77",""
2000/02,"5.00",""
2000/03,"5.10",""
2000/04,"5.10",""
2000/05,"5.13",""
2000/06,"5.14",""
2000/07,"5.16",""
2000/08,"5.17",""
2000/09,"5.16",""
2000/10,"5.36",""
2000/11,"5.38",""
2000/12,"5.39",""
2001/01,"5.32",""
2001/02,"5.13",""
2001/03,"5.03",""
2001/04,"5.01",""
2001/05,"5.02",""
2001/06,"5.02",""
2001/07,"4.81",""
2001/08,"4.60",""
2001/09,"4.33",""
2001/10,"4.02",""
2001/11,"4.03",""
2001/12,"4.01",""
2002/01,"3.99",""
2002/02,"4.02",""
2002/03,"4.03",""
2002/04,"4.03",""
2002/05,"4.26",""
2002/06,"4.31",""
2002/07,"4.29",""
2002/08,"4.31",""
2002/09,"4.33",""
2002/10,"4.33",""
2002/11,"4.31",""
2002/12,"4.33",""
2003/01,"4.30",""
2003/02,"4.32",""
2003/03,"4.25",""
2003/04,"4.26",""
2003/05,"4.09",""
2003/06,"4.03",""
2003/07,"3.85",""
2003/08,"3.77",""
2003/09,"3.76",""
2003/10,"3.77","3.97"
2003/11,"3.80","4.05"
2003/12,"3.79","3.95"
2004/01,"3.80","3.87"
2004/02,"3.78","3.82"
2004/03,"3.77","3.82"
2004/04,"3.77","3.80"
2004/05,"3.77","3.81"
2004/06,"3.78","3.81"
2004/07,"3.78","3.81"
2004/08,"3.62","3.59"
2004/09,"3.53","3.56"
2004/10,"3.53","3.56"
2004/11,"3.36","3.38"
2004/12,"3.28","3.32"
2005/01,"3.27","3.34"
2005/02,"3.27","3.37"
2005/03,"3.25","3.31"
2005/04,"3.26","3.31"
2005/05,"3.30","3.31"
2005/06,"3.28","3.32"
2005/07,"3.25","3.31"
2005/08,"3.25","3.32"
2005/09,"3.25","3.33"
2005/10,"3.44","3.55"
2005/11,"3.50","3.60"
2005/12,"3.69","3.80"
2006/01,"3.75","3.84"
2006/02,"3.92","4.02"
2006/03,"3.98","4.11"
2006/04,"3.97","4.12"
2006/05,"3.96","4.11"
2006/06,"4.16","4.31"
2006/07,"4.21","4.33"
2006/08,"4.42","4.50"
2006/09,"4.48","4.56"
2006/10,"4.48","4.56"
2006/11,"4.47","4.57"
2006/12,"4.49","4.58"
2007/01,"4.63","4.69"
2007/02,"4.60","4.68"
2007/03,"4.60","4.69"
2007/04,"4.68","4.78"
2007/05,"4.62","4.74"
2007/06,"4.54","4.67"
2007/07,"4.67","4.77"
2007/08,"4.91","5.04"
2007/09,"4.97","5.12"
2007/10,"5.00","5.13"
2007/11,"5.00","5.14"
2007/12,"4.99","5.18"
2008/01,"4.99","5.16"
2008/02,"4.97","5.13"
2008/03,"4.97","5.17"
2008/04,"4.99","5.17"
2008/05,"4.99","5.13"
2008/06,"4.93","5.11"
2008/07,"4.98","5.14"
2008/08,"5.21","5.39"
2008/09,"5.21","5.39"
2008/10,"4.89","5.17"
2008/11,"4.00","4.47"
2008/12,"3.27","3.99"
2009/01,"2.43","3.05"
2009/02,"2.06","2.59"
2009/03,"1.77","2.38"
2009/04,"1.79","2.35"
2009/05,"1.91","2.33"
2009/06,"1.93","2.32"
2009/07,"1.94","2.30"
2009/08,"1.98","2.28"
2009/09,"1.98","2.30"
2009/10,"2.00","2.31"
2009/11,"2.00","2.33"
2009/12,"2.00","2.30"
2010/01,"2.00","2.30"
2010/02,"2.00","2.30"
2010/03,"2.01","2.32"
2010/04,"2.00","2.31"
2010/05,"2.01","2.30"
2010/06,"2.00","2.27"
2010/07,"2.20","2.43"
2010/08,"2.27","2.49"
2010/09,"2.27","2.53"
2010/10,"2.26","2.50"
2010/11,"2.37","2.59"
2010/12,"2.50","2.71"
2011/01,"2.66","2.87"
2011/02,"2.75","2.95"
2011/03,"2.92","3.13"
2011/04,"3.01","3.18"
2011/05,"3.02","3.14"
2011/06,"3.20","3.33"
2011/07,"3.26","3.36"
2011/08,"3.25","3.35"
2011/09,"3.25","3.35"
2011/10,"3.24","3.35"
2011/11,"3.26","3.35"
2011/12,"3.26","3.36"
2012/01,"3.26","3.35"
2012/02,"3.25","3.35"
2012/03,"3.25","3.36"
2012/04,"3.25","3.35"
2012/05,"3.26","3.36"
2012/06,"3.26","3.37"
2012/07,"3.09","3.19"
2012/08,"3.00","3.11"
2012/09,"2.99","3.11"
2012/10,"2.81","2.92"
2012/11,"2.75","2.87"
2012/12,"2.75","2.87"
2013/01,"2.76","2.87"
2013/02,"2.75","2.87"
2013/03,"2.74","2.85"
2013/04,"2.75","2.85"
2013/05,"2.56",""
2013/06,"2.49","2.50"
2013/07,"2.48",""
2013/08,"2.50",""
2013/09,"2.50","2.53"
2013/10,"2.50","2.53"
2013/11,"2.50","2.53"
2013/12,"2.50","2.56"
2014/01,"2.50","2.55"
2014/02,"2.49","2.53"
2014/03,"2.48","2.53"
2014/04,"2.49","2.53"
2014/05,"2.49",""
2014/06,"2.48","2.53"
2014/07,"2.49",""
2014/08,"2.34",""
2014/09,"2.24",""
2014/10,"2.07",""
2014/11,"1.98",""
2014/12,"1.99",""
2015/01,"1.99",""
2015/02,"1.99",""
2015/03,"1.83",""
2015/04,"1.73",""
2015/05,"1.74",""
2015/06,"1.57",""
2015/07,"1.48",""
2015/08,"1.49",""
2015/09,"1.48",""
2015/10,"1.48",""
2015/11,"1.49",""
2015/12,"1.48",""
2016/01,"1.49",""
2016/02,"1.49",""
2016/03,"1.49",""
2016/04,"1.48",""
2016/05,"1.49",""
2016/06,"1.29",""
2016/07,"1.23",""
2016/08,"1.23",""
2016/09,"1.24",""
2016/10,"1.23",""
2016/11,"1.23",""
2016/12,"1.23",""
2017/01,"1.24",""
