date,BTC종가,BTC변동률
2021-05-14,49839.8,0.27
2021-05-13,49704.6,0.65
2021-05-12,49384.2,-12.9
2021-05-11,56695.7,1.52
2021-05-10,55848.9,-4.1
2021-05-09,58238.3,-1.02
2021-05-08,58840.1,2.62
2021-05-07,57337.2,1.65
2021-05-06,56405.4,-1.8
2021-05-05,57441.3,6.88
2021-05-04,53741.5,-6
2021-05-03,57169.8,1
2021-05-02,56603.8,-2.08
2021-05-01,57807.1,0.15
2021-04-30,57720.3,7.77
2021-04-29,53560.8,-2.34
2021-04-28,54841.4,-0.35
2021-04-27,55036.5,1.88
2021-04-26,54020.5,10.33
2021-04-25,48963.6,-2.25
2021-04-24,50088.9,-2.06
2021-04-23,51143.6,-1.13
2021-04-22,51729.5,-3.88
2021-04-21,53820.2,-4.71
2021-04-20,56483.2,1.5
2021-04-19,55646.1,-1
2021-04-18,56207.1,-6.39
2021-04-17,60041.9,-2.18
2021-04-16,61379.7,-2.9
2021-04-15,63216,0.37
2021-04-14,62980.4,-0.88
2021-04-13,63540.9,6.14
2021-04-12,59863.8,-0.19
2021-04-11,59978.7,0.39
2021-04-10,59748.4,2.8
2021-04-09,58118.7,0.07
2021-04-08,58077.4,3.8
2021-04-07,55948.7,-3.53
2021-04-06,57996.3,-1.69
2021-04-05,58993.4,1.36
2021-04-04,58199.9,2
2021-04-03,57059.9,-3.25
2021-04-02,58977.3,0.44
2021-04-01,58718.3,-0.08
2021-03-31,58763.7,-0.01
2021-03-30,58771.3,2
2021-03-29,57616.2,3.32
2021-03-28,55765.2,-0.17
2021-03-27,55862.9,1.5
2021-03-26,55036.1,7.24
2021-03-25,51322.3,-1.92
2021-03-24,52325.4,-3.91
2021-03-23,54452.5,0.54
2021-03-22,54158.3,-5.62
2021-03-21,57383.8,-1.22
2021-03-20,58093.4,0.01
2021-03-19,58088,0.75
2021-03-18,57656,-2.13
2021-03-17,58913.5,3.56
2021-03-16,56889.7,1.97
2021-03-15,55791.3,-5.62
2021-03-14,59113.7,-3.4
2021-03-13,61195.3,6.86
2021-03-12,57265.1,-0.92
2021-03-11,57799.5,3.49
2021-03-10,55851.9,1.77
2021-03-09,54879,4.91
2021-03-08,52311,2.61
2021-03-07,50982.3,4.35
2021-03-06,48855.6,0.13
2021-03-05,48792.5,0.75
2021-03-04,48428,-3.9
2021-03-03,50395.1,4.07
2021-03-02,48424.2,-2.36
2021-03-01,49595.5,9.81
2021-02-28,45164,-2.11
2021-02-27,46136.7,-0.45
2021-02-26,46345.6,-1.24
2021-02-25,46928.5,-5.57
2021-02-24,49697.5,1.61
2021-02-23,48911.2,-9.61
2021-02-22,54111.8,-5.78
2021-02-21,57433.8,2.7
2021-02-20,55923.7,0.03
2021-02-19,55906.6,8.38
2021-02-18,51582.2,-0.95
2021-02-17,52079.2,5.92
2021-02-16,49169.7,2.57
2021-02-15,47936.3,-1.45
2021-02-14,48643.4,3.13
2021-02-13,47168.7,-0.43
2021-02-12,47371.7,-1.29
2021-02-11,47990.7,7.04
2021-02-10,44836,-3.6
2021-02-09,46508.6,0.24
2021-02-08,46395.7,19.41
2021-02-07,38852.9,-1.03
2021-02-06,39256.6,2.5
2021-02-05,38297.6,3.56
2021-02-04,36982.1,-1.77
2021-02-03,37646.8,6.09
2021-02-02,35485.2,5.88
2021-02-01,33515.7,1.23
2021-01-31,33108.1,-3.43
2021-01-30,34283.1,-0.05
2021-01-29,34301.8,2.78
2021-01-28,33374.8,9.77
2021-01-27,30404,-6.46
2021-01-26,32502.1,0.77
2021-01-25,32252.3,0.03
2021-01-24,32241.3,0.47
2021-01-23,32088.9,-2.76
2021-01-22,33000.5,7
2021-01-21,30842.1,-13.06
2021-01-20,35476.3,-1.46
2021-01-19,36002.9,-1.67
2021-01-18,36613.2,2.16
2021-01-17,35839.6,-0.5
2021-01-16,36019.5,-2.24
2021-01-15,36845.8,-5.95
2021-01-14,39175.7,4.8
2021-01-13,37382.2,9.7
2021-01-12,34076.1,-4.13
2021-01-11,35544.3,-6.93
2021-01-10,38192.2,-4.88
2021-01-09,40151.9,-1.1
2021-01-08,40599.3,2.89
2021-01-07,39460.2,7.25
2021-01-06,36793.2,8.24
2021-01-05,33991.5,6.15
2021-01-04,32022.6,-2.84
2021-01-03,32958.9,2.38
2021-01-02,32193.3,9.65
2021-01-01,29359.9,1.42
2020-12-31,28949.4,0.28
2020-12-30,28868.7,5.45
2020-12-29,27376,1.18
2020-12-28,27057.8,3.03
2020-12-27,26261.3,-0.73
2020-12-26,26454.4,7.15
2020-12-25,24689.6,4.02
2020-12-24,23736.5,2.06
2020-12-23,23257.9,-2.37
2020-12-22,23823.2,4.82
2020-12-21,22728.5,-3.18
2020-12-20,23474.9,-1.55
2020-12-19,23844,3.1
2020-12-18,23127.9,1.33
2020-12-17,22825.4,6.9
2020-12-16,21352.2,9.87
2020-12-15,19434.9,0.84
2020-12-14,19273.8,0.51
2020-12-13,19176.8,1.96
2020-12-12,18808.9,4.36
2020-12-11,18023.6,-1.23
2020-12-10,18247.2,-1.61
2020-12-09,18546,1.2
2020-12-08,18326.6,-4.4
2020-12-07,19170.7,-1.08
