일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2000/01/04,305500 ,"39,500",14.85,"300,000","305,500","283,000","1,483,967","444,233,178,500","45,775,746,373,500","149,838,777"
2000/01/05,279000 ,"-26,500",-8.67,"290,000","303,000","276,000","1,493,604","433,783,381,000","41,805,018,783,000","149,838,777"
2000/01/06,281000 ,"2,000",0.72,"287,500","289,000","279,000","1,087,810","308,005,325,000","42,104,696,337,000","149,838,777"
2000/01/07,277000 ,"-4,000",-1.42,"278,000","283,500","268,000","806,195","222,717,840,000","41,505,341,229,000","149,838,777"
2000/01/10,288500 ,"11,500",4.15,"280,000","288,500","279,000","937,615","265,754,492,500","43,228,487,164,500","149,838,777"
2000/01/11,288500 ,0,0.00,"291,000","305,000","288,500","1,194,974","355,643,429,000","43,228,487,164,500","149,838,777"
2000/01/12,286000 ,"-2,500",-0.87,"280,500","287,000","280,000","584,492","165,910,592,000","42,853,890,222,000","149,838,777"
2000/01/13,285500 ,-500,-0.17,"280,000","287,000","278,000","823,830","232,594,770,000","42,778,970,833,500","149,838,777"
2000/01/14,291500 ,"6,000",2.10,"286,000","294,000","284,000","987,576","286,306,579,000","43,678,003,495,500","149,838,777"
2000/01/17,305000 ,"13,500",4.63,"300,000","309,000","296,000","1,270,138","384,515,815,000","45,700,826,985,000","149,838,777"
2000/01/18,305000 ,0,0.00,"308,000","308,000","299,000","905,231","274,619,195,000","45,788,937,825,000","150,127,665"
2000/01/19,298000 ,"-7,000",-2.30,"300,000","302,000","298,000","804,159","240,922,307,000","44,738,044,170,000","150,127,665"
2000/01/20,302000 ,"4,000",1.34,"293,000","302,000","291,000","746,360","220,705,545,000","45,338,554,830,000","150,127,665"
2000/01/21,294000 ,"-8,000",-2.65,"297,500","299,000","294,000","650,728","192,644,672,000","44,137,533,510,000","150,127,665"
2000/01/24,285000 ,"-9,000",-3.06,"290,000","295,000","285,000","687,183","199,480,775,000","42,786,384,525,000","150,127,665"
2000/01/25,272000 ,"-13,000",-4.56,"276,000","282,000","272,000","885,067","244,837,929,000","40,834,724,880,000","150,127,665"
2000/01/26,274000 ,"2,000",0.74,"275,000","276,000","270,500","585,734","160,194,206,000","41,134,980,210,000","150,127,665"
2000/01/27,276000 ,"2,000",0.73,"274,000","281,000","271,500","558,083","154,449,013,000","41,435,235,540,000","150,127,665"
2000/01/28,291000 ,"15,000",5.43,"282,000","294,000","277,000","766,398","218,028,318,000","43,687,150,515,000","150,127,665"
2000/01/31,279000 ,"-12,000",-4.12,"282,000","286,500","278,000","792,689","223,323,631,000","41,885,618,535,000","150,127,665"
2000/02/01,266000 ,"-13,000",-4.66,"280,000","284,000","263,000","1,429,402","386,257,967,000","39,933,958,890,000","150,127,665"
2000/02/02,262500 ,"-3,500",-1.32,"261,000","268,500","255,500","1,282,143","335,283,427,500","39,408,512,062,500","150,127,665"
2000/02/03,256500 ,"-6,000",-2.29,"262,500","273,000","248,500","2,855,355","737,977,152,500","38,507,746,072,500","150,127,665"
2000/02/07,262000 ,"5,500",2.14,"257,000","266,500","252,000","1,282,835","334,235,680,000","39,333,448,230,000","150,127,665"
