date,등락지표,등락.분류,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,삼성종가,SOX종가,SOX변동률,BTC종가,BTC변동률
2010-07-19,1,1,23700,200,0.85,23700,24100,23500,10915618,2.6E+11,1.4E+13,590232289,1201.1,76.54,75.72,77.69,75.5,0.7,2,0.25,-1.75,90.74,795000,357.94,2.51,0.1,0
2010-07-20,1,1,23850,150,0.63,23850,24050,23550,6009885,1.43E+11,1.41E+13,590232289,1215.9,77.44,76.4,77.57,75.65,1.18,2,0.25,-1.75,90.74,798000,358.13,0.05,0.1,0
2010-07-21,-1,-1,23600,-250,-1.05,24250,24350,23500,7489851,1.79E+11,1.39E+13,590232289,1211.8,76.56,77.85,78.57,76.2,-1.14,2,0.25,-1.75,90.74,817000,351.13,-1.95,0.1,0
2010-07-22,-1,-1,22600,-1000,-4.24,23850,24000,22250,21388196,4.91E+11,1.33E+13,590275583,1203.6,79.3,76.43,79.42,76.16,3.58,2,0.25,-1.75,90.74,808000,362.66,3.28,0.1,0
2010-07-23,1,1,23250,650,2.88,23000,23400,22800,12343729,2.86E+11,1.37E+13,590275583,1206.9,78.98,79.27,79.6,78.4,-0.4,2,0.25,-1.75,90.74,811000,364.53,0.52,0.1,0
2010-07-26,1,1,23950,700,3.01,23300,24150,23300,9656787,2.31E+11,1.41E+13,590275583,1197.2,78.98,78.98,79.33,78.06,0,2,0.25,-1.75,90.74,818000,369.5,1.36,0.1,0
2010-07-27,-1,-1,23500,-450,-1.88,24200,24200,23500,37144652,8.88E+11,1.39E+13,590275583,1194.4,77.5,78.92,79.69,76.79,-1.87,2,0.25,-1.75,90.74,829000,366.08,-0.93,0.1,0
2010-07-28,-1,-1,23100,-400,-1.7,23700,23850,22700,13310872,3.08E+11,1.36E+13,590275583,1183.6,76.99,77.08,77.74,75.9,-0.66,2,0.25,-1.75,90.74,837000,359.47,-1.81,0.1,0
2010-07-29,-1,-1,22350,-750,-3.25,22900,23250,22300,12478780,2.82E+11,1.32E+13,590275583,1186.5,78.36,76.89,78.89,76.45,1.78,2,0.25,-1.75,90.74,827000,352.52,-1.93,0.1,0
2010-07-30,1,1,22500,150,0.67,22250,22850,22150,8930756,2E+11,1.33E+13,590275583,1187.2,78.95,78.25,79.05,76.83,0.75,2,0.25,-1.75,90.74,810000,348.81,-1.05,0.1,0
2010-08-02,-1,-1,21600,-900,-4,22550,22650,21500,18732935,4.1E+11,1.28E+13,590275583,1185,81.34,78.95,81.77,78.83,3.03,2,0.25,-1.75,90.74,810000,354.94,1.76,0.1,0
2010-08-03,1,1,21950,350,1.62,21950,22400,21800,14346069,3.16E+11,1.3E+13,590275583,1173.4,82.55,81.41,82.64,81.11,1.49,2,0.25,-1.75,90.74,815000,351.25,-1.04,0.1,0
2010-08-04,-1,-1,21600,-350,-1.59,22000,22250,21400,11434849,2.49E+11,1.28E+13,590275583,1168.7,82.47,82.42,82.97,81.62,-0.1,2,0.25,-1.75,90.74,806000,354.71,0.99,0.1,0
2010-08-05,1,1,21900,300,1.39,22000,22400,21700,11637399,2.57E+11,1.29E+13,590275583,1169.5,82.01,82.44,82.48,81.56,-0.56,2,0.25,-1.75,90.74,804000,352.44,-0.64,0.1,0
2010-08-06,1,1,22850,950,4.34,22100,22900,22050,14508311,3.27E+11,1.35E+13,590275583,1168.2,80.7,82.12,82.67,80.04,-1.6,2,0.25,-1.75,90.74,801000,351.75,-0.2,0.1,0
2010-08-09,-1,-1,22700,-150,-0.66,22900,23100,22600,6486022,1.48E+11,1.34E+13,590275583,1165.7,81.48,80.91,81.76,80.71,0.97,2,0.25,-1.75,90.74,802000,354.05,0.65,0.1,0
2010-08-10,-1,-1,22600,-100,-0.44,22850,23250,22600,7329207,1.68E+11,1.33E+13,590275583,1159.1,80.25,81.44,81.62,79.2,-1.51,2,0.25,-1.75,90.74,793000,344.74,-2.63,0.1,0
2010-08-11,-1,-2,21200,-1400,-6.19,22000,22100,21200,18929287,4.08E+11,1.25E+13,590275583,1167.2,78.02,80.22,80.44,77.25,-2.78,2,0.25,-1.75,90.74,779000,330.06,-4.26,0.1,0
2010-08-12,0,0,21200,0,0,20600,21500,20200,13041798,2.74E+11,1.25E+13,590275583,1177.3,75.74,77.31,77.97,75.52,-2.92,2,0.25,-1.75,90.74,766000,325.75,-1.31,0.1,0
2010-08-13,1,1,21650,450,2.12,21500,21800,21300,7460749,1.61E+11,1.28E+13,590275583,1193.6,75.39,75.75,76.74,75.01,-0.46,2,0.25,-1.75,90.74,781000,322.74,-0.92,0.1,0
2010-08-16,1,1,22100,450,2.08,21550,22150,21200,7543971,1.64E+11,1.3E+13,590276011,1186.7,75.24,75.6,75.95,74.86,-0.2,2,0.25,-1.75,90.74,782000,324.26,0.47,0.1,0
2010-08-17,0,0,22100,0,0,21900,22250,21700,5851598,1.29E+11,1.3E+13,590276011,1193.2,75.77,75.06,76.63,75.01,0.7,2,0.25,-1.75,90.74,782000,328.6,1.34,0.1,0
2010-08-18,-1,-1,21700,-400,-1.81,22250,22300,21500,7017763,1.53E+11,1.28E+13,590276011,1178.7,75.42,75.45,75.74,73.83,-0.46,2,0.25,-1.75,90.74,778000,332.1,1.07,0.1,0
2010-08-19,1,1,22500,800,3.69,22150,22650,22000,9857803,2.21E+11,1.33E+13,590276011,1173.9,74.43,75.27,76.1,73.96,-1.31,2,0.25,-1.75,90.74,789000,326.42,-1.71,0.1,0
2010-08-20,-1,-1,22000,-500,-2.22,22250,22450,21950,6506966,1.44E+11,1.3E+13,590276011,1173.3,73.46,74.45,74.6,73.19,-1.3,2,0.25,-1.75,90.74,784000,327.88,0.45,0.1,0
2010-08-23,-1,-1,21400,-600,-2.73,22000,22350,21300,8185249,1.78E+11,1.26E+13,590276011,1179.9,73.1,73.9,74.48,72.75,-0.49,2,0.25,-1.75,90.74,790000,323.78,-1.25,0.1,0
2010-08-24,1,1,21950,550,2.57,21300,22050,21050,7212879,1.56E+11,1.3E+13,590276011,1181.8,71.63,72.95,73.05,71.32,-2.01,2,0.25,-1.75,90.74,783000,318.41,-1.66,0.1,0
2010-08-25,1,1,22050,100,0.46,21700,22150,21550,7298041,1.6E+11,1.3E+13,590276011,1189,72.52,71.47,72.97,70.76,1.24,2,0.25,-1.75,90.74,772000,321.5,0.97,0.1,0
2010-08-26,1,1,22600,550,2.49,22400,23000,22050,15405418,3.49E+11,1.33E+13,590276011,1195.4,73.36,72.82,73.98,72.54,1.16,2,0.25,-1.75,90.74,773000,315.23,-1.95,0.1,0
2010-08-27,-1,-1,22550,-50,-0.22,22500,22700,22250,6317557,1.42E+11,1.33E+13,590276011,1194.4,75.17,73.18,75.59,72.04,2.47,2,0.25,-1.75,90.74,766000,321.76,2.07,0.1,0
2010-08-30,-1,-1,22500,-50,-0.22,22900,22950,22350,7788047,1.76E+11,1.33E+13,590276011,1195.2,74.7,75.5,75.58,74.01,-0.63,2,0.25,-1.75,90.74,776000,313.58,-2.54,0.1,0
2010-08-31,-1,-2,21100,-1400,-6.22,22100,22200,21000,18006565,3.85E+11,1.25E+13,590276011,1189.1,71.92,74.07,74.73,71.53,-3.72,2.25,0.25,-2,90.74,756000,307.49,-1.94,0.1,0
2010-09-01,-1,-1,20850,-250,-1.18,21250,21350,20500,17891433,3.74E+11,1.23E+13,590276011,1196.8,73.91,71.7,74.48,71.67,2.77,2.25,0.25,-2,91.77,752000,316.75,3.01,0.1,0
2010-09-02,1,1,21100,250,1.2,21300,21400,20900,12935639,2.73E+11,1.25E+13,590276011,1190.6,75.02,73.91,75.14,73.11,1.5,2.25,0.25,-2,91.77,759000,323.32,2.07,0.1,0
2010-09-03,1,1,21800,700,3.32,21300,21950,21300,13682222,2.96E+11,1.29E+13,590276011,1181,74.6,74.93,75.44,73.2,-0.56,2.25,0.25,-2,91.77,761000,328.71,1.67,0.1,0
2010-09-06,1,1,21850,50,0.23,22200,22450,21750,9768969,2.16E+11,1.29E+13,590276011,1177.8,74.345,74.615,75.035,72.915,-0.62,2.25,0.25,-2,91.77,780000,325.51,-0.14,0.1,0
2010-09-07,-1,-1,21500,-350,-1.6,21750,21950,21300,7147421,1.54E+11,1.27E+13,590276011,1171.2,74.09,74.3,74.63,72.63,-0.68,2.25,0.25,-2,91.77,788000,322.31,-1.95,0.1,0
2010-09-08,-1,-1,20750,-750,-3.49,21100,21200,20500,16624161,3.44E+11,1.22E+13,590276011,1176.4,74.67,73.91,75.39,73.37,0.78,2.25,0.25,-2,91.77,771000,320.9,-0.44,0.1,0
2010-09-09,-1,-1,20300,-450,-2.17,20800,21050,20100,15189733,3.11E+11,1.2E+13,590276011,1176.2,74.25,74.92,75.96,73.88,-0.56,2.25,0.25,-2,91.77,756000,321.08,0.06,0.1,0
2010-09-10,1,1,20650,350,1.72,20500,20800,20350,8103091,1.67E+11,1.22E+13,590276011,1169.1,76.45,74.4,76.73,74.37,2.96,2.25,0.25,-2,91.77,766000,316.57,-1.4,0.1,0
2010-09-13,-1,-1,20500,-150,-0.73,20650,21000,20400,9030044,1.87E+11,1.21E+13,590276011,1166.4,77.19,76.36,78.04,76.36,0.97,2.25,0.25,-2,91.77,770000,327.17,3.35,0.1,0
2010-09-14,-1,-1,20450,-50,-0.24,21100,21250,20300,11749312,2.44E+11,1.21E+13,590276011,1161.4,76.8,77.17,77.99,76.21,-0.51,2.25,0.25,-2,91.77,760000,332.76,1.71,0.1,0
2010-09-15,1,1,21000,550,2.69,20700,21000,20350,9591589,1.99E+11,1.24E+13,590276011,1161.4,76.02,76.64,76.65,74.66,-1.02,2.25,0.25,-2,91.77,757000,331.64,-0.34,0.1,0
2010-09-16,1,1,21100,100,0.48,20900,21300,20800,9047633,1.91E+11,1.25E+13,590276011,1160.8,74.57,75.76,75.99,74.11,-1.91,2.25,0.25,-2,91.77,757000,334.24,0.78,0.1,0
2010-09-17,1,2,22500,1400,6.64,21400,22500,21350,24186132,5.32E+11,1.33E+13,590276011,1163.2,73.66,74.47,75.25,72.75,-1.22,2.25,0.25,-2,91.77,773000,334.35,0.03,0.1,0
2010-09-20,-1,-1,22100,-400,-1.78,22600,22650,22000,10471186,2.33E+11,1.3E+13,590276011,1163.1,74.86,73.59,75.45,73.32,1.63,2.25,0.25,-2,91.77,780000,336.12,0.53,0.1,0
2010-09-24,-1,-1,21100,-1000,-4.52,21700,21750,21050,15723927,3.34E+11,1.25E+13,590276011,1162.1,76.49,74.95,76.68,74.66,1.74,2.25,0.25,-2,91.77,762000,346.14,4,0.1,0
2010-09-27,1,1,21200,100,0.47,21550,21800,21100,11332593,2.42E+11,1.25E+13,590276011,1156.4,76.52,76.47,77.17,75.52,0.04,2.25,0.25,-2,91.77,755000,343.8,-0.68,0.1,0
2010-09-28,1,1,21350,150,0.71,21250,21650,21100,6960963,1.49E+11,1.26E+13,590276011,1148.8,76.18,76.23,77.12,75.53,-0.44,2.25,0.25,-2,91.77,745000,349.46,1.65,0.1,0
2010-09-29,1,1,21850,500,2.34,21500,22200,21500,12752750,2.8E+11,1.29E+13,590276439,1148.5,77.86,76.2,78.13,75.6,2.21,2.25,0.25,-2,91.77,772000,351.79,0.67,0.1,0
2010-09-30,1,1,22150,300,1.37,22050,22300,21750,7530575,1.66E+11,1.31E+13,590276439,1142,79.97,77.91,80.18,77.55,2.71,2.25,0.25,-2,91.77,777000,349.24,-0.72,0.1,0
2010-10-01,1,1,22450,300,1.35,22100,22450,21900,8945751,1.99E+11,1.33E+13,590276439,1141.3,81.58,79.84,81.75,79.7,2.01,2.25,0.25,-2,80.1,777000,348.06,-0.34,0.1,0
2010-10-04,1,1,22500,50,0.22,22600,22950,22450,10634669,2.42E+11,1.33E+13,590276439,1134.4,81.47,81.68,82.38,80.77,-0.13,2.25,0.25,-2,80.1,780000,343.12,-1.42,0.1,0
2010-10-05,1,1,22750,250,1.11,22350,22750,22000,8459372,1.89E+11,1.34E+13,590276439,1124.1,82.82,81.37,82.99,81.15,1.66,2.25,0.25,-2,80.1,773000,350.91,2.27,0.1,0
2010-10-06,1,1,23400,650,2.86,23300,23600,23100,15727497,3.67E+11,1.38E+13,590276439,1130.7,83.23,82.6,84.09,82.29,0.5,2.25,0.25,-2,80.1,793000,345.34,-1.59,0.1,0
2010-10-07,-1,-1,23200,-200,-0.85,23250,23500,22950,9521740,2.21E+11,1.37E+13,590276439,1120.1,81.67,83.27,84.43,81,-1.87,2.25,0.25,-2,80.1,770000,346.83,0.43,0.1,0
2010-10-08,1,1,23500,300,1.29,23200,23700,23150,7573508,1.78E+11,1.39E+13,590276439,1117.4,82.66,81.43,83.13,80.3,1.21,2.25,0.25,-2,80.1,758000,350.15,0.96,0.1,0
2010-10-11,-1,-1,22350,-1150,-4.89,23750,23800,22250,14794038,3.37E+11,1.32E+13,590276439,1119.7,82.21,82.95,83.5,81.82,-0.54,2.25,0.25,-2,80.1,753000,352.67,0.72,0.1,0
2010-10-12,1,1,22600,250,1.12,22450,23000,22400,8463492,1.92E+11,1.33E+13,590276439,1115.4,81.67,81.94,82.33,80.88,-0.66,2.25,0.25,-2,80.1,746000,355.32,0.75,0.1,0
2010-10-13,1,1,23400,800,3.54,23000,23500,22950,11261698,2.62E+11,1.38E+13,590276439,1127,83.01,81.72,83.45,81.68,1.64,2.25,0.25,-2,80.1,744000,355.66,0.1,0.1,0
2010-10-14,-1,-1,23350,-50,-0.21,23600,23800,23050,10001339,2.34E+11,1.38E+13,590276439,1119.5,82.69,83.23,84.12,82.21,-0.39,2.25,0.25,-2,80.1,750000,354.83,-0.23,0.1,0
2010-10-15,1,1,23600,250,1.07,23200,23650,23050,6311478,1.48E+11,1.39E+13,590276439,1112.8,81.25,82.77,83.33,80.75,-1.74,2.25,0.25,-2,80.1,754000,357.12,0.65,0.1,0
2010-10-18,-1,-1,22900,-700,-2.97,23700,23700,22800,10138166,2.34E+11,1.35E+13,590276439,1114.7,83.08,81.38,83.28,80.35,2.25,2.25,0.25,-2,80.1,751000,354.57,-0.71,0.1,0
2010-10-19,-1,-1,22850,-50,-0.22,22900,23350,22600,10535814,2.43E+11,1.35E+13,590276439,1117.2,79.49,82.95,83.21,79.25,-4.32,2.25,0.25,-2,80.1,741000,349.62,-1.4,0.1,0
2010-10-20,1,1,23900,1050,4.6,22850,23950,22700,14952331,3.52E+11,1.41E+13,590276439,1123.6,81.77,79.48,82.03,79.35,2.87,2.25,0.25,-2,80.1,745000,351.78,0.62,0.1,0
2010-10-21,-1,-1,23750,-150,-0.63,24000,24400,23750,13108254,3.16E+11,1.4E+13,590276439,1131.3,80.56,82.55,82.7,80.09,-1.48,2.25,0.25,-2,80.1,765000,349.86,-0.55,0.1,0
2010-10-22,1,1,24200,450,1.89,24000,24400,23900,7903928,1.92E+11,1.43E+13,590276439,1126.2,81.69,80.73,82.07,80.41,1.4,2.25,0.25,-2,80.1,777000,356.94,2.02,0.1,0
2010-10-25,1,1,24300,100,0.41,24400,24400,23750,8245692,1.99E+11,1.43E+13,590276439,1129.5,82.52,82.01,83.28,81.45,1.02,2.25,0.25,-2,80.1,771000,360.78,1.08,0.1,0
2010-10-26,-1,-1,23700,-600,-2.47,24100,24250,23400,10858815,2.58E+11,1.4E+13,590276439,1117.2,82.55,82.47,82.88,81.81,0.04,2.25,0.25,-2,80.1,763000,359.36,-0.39,0.2,0
2010-10-27,-1,-1,22900,-800,-3.38,23500,23600,22900,12636747,2.92E+11,1.35E+13,590276439,1117.7,81.94,82.48,82.69,80.52,-0.74,2.25,0.25,-2,80.1,753000,370.45,3.09,0.2,0
2010-10-28,-1,-1,22850,-50,-0.22,23300,23450,22600,13682522,3.14E+11,1.35E+13,590276439,1126,82.18,81.99,82.64,81.5,0.29,2.25,0.25,-2,80.1,764000,370.34,-0.03,0.2,0
2010-10-29,1,1,23150,300,1.31,22700,23150,22300,11672512,2.66E+11,1.37E+13,590276439,1126.6,81.43,81.92,82.12,80.56,-0.91,2.25,0.25,-2,80.1,745000,372.64,0.62,0.2,0
2010-11-01,-1,-1,22700,-450,-1.94,23200,23300,22600,8679690,1.99E+11,1.34E+13,590276439,1124.2,82.95,81.45,83.86,81.32,1.87,2.25,0.25,-2,80.1,747000,371.45,-0.32,0.2,0
