날짜,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,자본금순이익률,자기자본순이익율,주당배당금,배당수익률,배당금총액,당기순이익,매출액증가율,영업이익(조단위),반도체 수출금액지수,무담보콜금리,WIT 현물유가등락률,원달러환율(원)
2000,17703,-83,-0.551618257,17780,18341,17207,10801089,1.77E+11,8.67E+12,490276394,-1.04,-0.36,0,0,0,"-2,569,098,035,000.00",0.12,0.016,40.60333333,5.155,58.775,"1,259.70"
2001,2785,-7,0.048292683,2804,2916,2693,143710787,2.78E+11,1.79E+12,759312395,-1.33,-0.94,0,0,0,"-5,051,827,173,000.00",-0.5,-1.91,22.13666667,4.694166667,-14.06666667,"1,326.10"
2002,955,-9,-0.572295082,966,1012,919,407824329,3.01E+11,2.06E+12,3420237905,-0.12,-0.4,0,0,0,"-2,027,513,696,000.00",-0.11,-0.6712,26.2225,4.211666667,8.15,"1,200.40"
2003,4688,11,0.160526316,4700,4867,4556,57406618,1.04E+11,2.36E+12,1818367110,-0.14,-0.54,0,0,0,"-2,100,296,731,000.00",0.02,0.0432,31.28416667,3.999166667,18.675,"1,197.80"
2004,10761,24,0.382971888,10781,11088,10489,11116629,1.20E+11,4.78E+12,444434620,0.76,0.46,0,0,0,"1,721,263,000,000.00",0.39,2.03,41.82,3.6475,36.24166667,"1,043.80"
2005,18628,95,0.494658635,18581,19040,18259,8570020,1.72E+11,8.32E+12,446399965,0.82,0.34,0,0,0,"1,851,231,167,000.00",-0.11,1.61,47.19583333,3.334166667,38.975,"1,013.00"
2006,33428,5,0.045668016,33484,33994,32907,7017262,2.33E+11,1.52E+13,453538347,0.89,0.27,0,0,0,"2,054,037,768,000.00",0.29,2.07,52.44666667,4.190833333,18.38333333,929.6
2007,31348,-43,-0.110447154,31466,31903,30928,5880407,1.85E+11,1.44E+13,459184252,0.15,0.04,0,0,0,"363,913,739,000.00",0.11,0.5137,62.615,4.7675,13.40833333,938.2
2008,21140,-78,-0.418548387,21238,21692,20732,7919126,1.26E+11,9.71E+12,459411385,-2.04,-0.63,0,0,0,"-4,744,724,308,000.00",-0.21,-1.92,52.57833333,4.783333333,38.65833333,"1,257.50"
2009,15293,65,0.568695652,15329,15682,14952,16433992,2.27E+11,8.68E+12,557410284,-0.12,-0.05,0,0,0,"-332,644,097,000.00",0.15,0.1919,50.11666667,1.9825,-24.525,"1,167.60"
2010,24099,3,0.047848606,24160,24547,23711,10133500,2.44E+11,1.42E+13,590089158,0.87,0.37,0,0,0,"2,597,575,000,000.00",0.53,2.98,81.31833333,2.1575,30.78333333,"1,138.90"
2011,25795,-8,0.026008065,25881,26356,25344,10416841,2.63E+11,1.53E+13,591549050,-0.01,0,0,0,0,"-55,971,000,000.00",-0.14,0.369,80.23916667,3.09,21.53333333,"1,153.30"
2012,25021,15,0.093387097,25072,25429,24693,5931197,1.49E+11,1.70E+13,679305466,-0.04,-0.01,0,0,0,"-158,795,000,000.00",-0.02,-0.2273,79.70916667,3.076666667,-2.5,"1,071.10"
2013,29747,45,0.163036437,29807,30134,29421,4879724,1.45E+11,2.08E+13,700180058,0.81,0.25,0,0,0,"2,872,857,000,000.00",0.39,3.38,90.2775,2.585833333,4.475,"1,055.30"
2014,43439,45,0.12722449,43522,43999,42926,3223724,1.38E+11,3.12E+13,717256128,1.16,0.26,0,0,0,"4,195,169,000,000.00",0.2,5.11,99.37083333,2.336666667,-6.316666667,"1,099.20"
2015,40291,-69,-0.15125,40398,40894,39822,3449904,1.36E+11,2.93E+13,728002365,1.18,0.21,500,1.6,3.53E+11,"4,323,595,000,000.00",0.09,5.34,100.0008333,1.645833333,-45.09166667,"1,172.00"
2016,33937,57,0.173455285,33956,34384,33512,3164199,1.06E+11,2.47E+13,728002365,0.8,0.13,600,1.3,4.24E+11,"2,960,483,000,000.00",-0.08,3.28,99.04833333,1.343333333,-7.65,"1,208.50"
2017,64291,131,0.245514403,64319,65172,63438,4058892,2.67E+11,4.68E+13,728002365,2.9,0.36,1000,1.3,7.06E+11,"10,642,219,000,000.00",0.75,13.72,156.78,1.261666667,19.01666667,"1,071.40"
2018,78449,-66,-0.070737705,78568,79562,77417,3814150,2.99E+11,5.71E+13,728002365,4.24,0.38,1500,2.5,1.03E+12,"15,539,984,000,000.00",0.34,20.84,203.5833333,1.523333333,26.20833333,"1,118.10"
2019,75820,137,0.204308943,75829,76840,74843,3162420,2.38E+11,5.52E+13,728002365,0.54,0.04,1000,1.1,6.84E+11,"2,009,078,000,000.00",-0.33,2.72,156.2025,1.593333333,-9.658333333,"1,157.80"
2020,88836,98,0.12608871,88907,90239,87558,4143442,3.65E+11,6.47E+13,728002365,1.3,0.09,1170,1,8.00E+11,"4,758,914,000,000.00",0.18,5.01,171.83,0.699166667,-31.71666667,"1,088.00"
