date,등락 분류,종가     ,대비    ,등락률    ,시가     ,고가     ,저가     ,거래량        ,거래대금        ,시가총액     ,상장주식수      ,환율     ,유가종가        ,유가오픈        ,유가고가        ,유가저가        ,유가변동률        ,한국은행기준금리 ,연준기준금리 ,한미기준금리차이
2000-01-04,2,25750,1650,6.85,24700,26450,24200,9275920,2.36E+11,8.99E+12,348934856,1134.5,25.55,25.2,25.69,24.71,-0.2,4.75,5.5,0.75
2000-01-05,-2,23100,-2650,-10.29,24150,24950,22750,7414370,1.78E+11,8.06E+12,348934856,1125.8,24.91,25.5,25.61,24.87,-2.5,4.75,5.5,0.75
2000-01-06,-2,21900,-1200,-5.19,23500,23800,21650,6529140,1.48E+11,7.64E+12,348934856,1130.1,24.78,24.8,25.34,24.51,-0.52,4.75,5.5,0.75
2000-01-07,-1,21700,-200,-0.91,21200,22400,20800,10492270,2.28E+11,1.07E+13,493934856,1139.1,24.22,24.65,25,24.15,-2.26,4.75,5.5,0.75
2000-01-10,-1,21500,-200,-0.92,22000,22300,21500,8041690,1.75E+11,1.06E+13,493934856,1145.9,24.67,24.22,24.75,24.02,1.86,4.75,5.5,0.75
2000-01-11,1,22300,800,3.72,22000,23300,21900,11268920,2.54E+11,1.10E+13,493934856,1135.3,25.77,24.71,25.8,24.67,4.46,4.75,5.5,0.75
2000-01-12,1,22600,300,1.35,22000,23200,21800,6916500,1.56E+11,1.12E+13,493934856,1137.3,26.28,25.73,26.55,25.38,1.98,4.75,5.5,0.75
2000-01-13,1,23500,900,3.98,23000,23550,22500,11180640,2.59E+11,1.16E+13,493934856,1147,26.69,26.28,27.12,26.2,1.56,4.75,5.5,0.75
2000-01-14,-1,22800,-700,-2.98,24250,24600,22600,12338010,2.92E+11,1.13E+13,493934856,1138.5,28.02,26.8,28.1,26.61,4.98,4.75,5.5,0.75
2000-01-17,2,24900,2100,9.21,23700,25550,23400,20475240,5.02E+11,1.23E+13,493934856,1127.1,28.435,27.415,28.55,27.285,3.97,4.75,5.5,0.75
2000-01-18,1,25000,100,0.4,25000,25700,24050,14581100,3.63E+11,1.23E+13,493934856,1122.1,28.85,28.03,29,27.96,2.96,4.75,5.5,0.75
2000-01-19,-1,24500,-500,-2,25000,25600,24500,13326650,3.33E+11,1.21E+13,493934856,1124.4,29.54,28.8,29.68,28.55,2.39,4.75,5.5,0.75
2000-01-20,2,27000,2500,10.2,24350,27000,23850,24274380,6.21E+11,1.33E+13,493934856,1128.9,29.66,29.4,29.95,28.8,0.41,4.75,5.5,0.75
2000-01-21,-1,26600,-400,-1.48,26500,28400,26400,31238800,8.53E+11,1.31E+13,493934856,1132.2,28.2,27.85,29.1,27.7,-4.92,4.75,5.5,0.75
2000-01-24,1,27000,400,1.5,27400,27850,26800,12233700,3.32E+11,1.33E+13,493934856,1127.6,27.83,28.23,28.69,27.51,-1.31,4.75,5.5,0.75
2000-01-25,-1,25900,-1100,-4.07,26500,26800,25800,10446560,2.74E+11,1.28E+13,493934856,1126.2,28.28,27.78,28.55,27.35,1.62,4.75,5.5,0.75
