날짜,S종가,H종가,H등락률,H시가,H고가,H저가,H거래량,H거래대금,H시가총액,H상장주식수,H자본금순이익률,H자기자본순이익율,H주당배당금,H배당수익률,H배당금총액,H당기순이익,H매출액증가율,H영업이익(조단위),반도체 수출금액지수,금리,WTI 현물유가등락률,원달러환율(원)
2000,268620 ,17703,-0.551618257,17780,18341,17207,10801089,1.77E+11,8.67E+12,490276394,-1.04,-0.36,0,0,0,-2.57E+12,0.12,0.016,40.60333333,5.25,58.775,1259.7
2001,204334 ,2785,0.048292683,2804,2916,2693,143710787,2.78E+11,1.79E+12,759312395,-1.33,-0.94,0,0,0,-5.05E+12,-0.5,-1.91,22.13666667,4,-14.06666667,1326.1
2002,347529 ,955,-0.572295082,966,1012,919,407824329,3.01E+11,2.06E+12,3420237905,-0.12,-0.4,0,0,0,-2.03E+12,-0.11,-0.6712,26.2225,4.25,8.15,1200.4
2003,382002 ,4688,0.160526316,4700,4867,4556,57406618,1.04E+11,2.36E+12,1818367110,-0.14,-0.54,0,0,0,-2.10E+12,0.02,0.0432,31.28416667,3.75,18.675,1197.8
2004,498382 ,10761,0.382971888,10781,11088,10489,11116629,1.20E+11,4.78E+12,444434620,0.76,0.46,0,0,0,1.72E+12,0.39,2.03,41.82,3.25,36.24166667,1043.8
2005,554786 ,18628,0.494658635,18581,19040,18259,8570020,1.72E+11,8.32E+12,446399965,0.82,0.34,0,0,0,1.85E+12,-0.11,1.61,47.19583333,3.75,38.975,1013
2006,653784 ,33428,0.045668016,33484,33994,32907,7017262,2.33E+11,1.52E+13,453538347,0.89,0.27,0,0,0,2.05E+12,0.29,2.07,52.44666667,4.5,18.38333333,929.6
2007,589174 ,31348,-0.110447154,31466,31903,30928,5880407,1.85E+11,1.44E+13,459184252,0.15,0.04,0,0,0,3.64E+11,0.11,0.5137,62.615,5,13.40833333,938.2
2008,590463 ,21140,-0.418548387,21238,21692,20732,7919126,1.26E+11,9.71E+12,459411385,-2.04,-0.63,0,0,0,-4.74E+12,-0.21,-1.92,52.57833333,3,38.65833333,1257.5
2009,673981 ,15293,0.568695652,15329,15682,14952,16433992,2.27E+11,8.68E+12,557410284,-0.12,-0.05,0,0,0,-3.33E+11,0.15,0.1919,50.11666667,2,-24.525,1167.6
2010,836892 ,24099,0.047848606,24160,24547,23711,10133500,2.44E+11,1.42E+13,590089158,0.87,0.37,0,0,0,2.60E+12,0.53,2.98,81.31833333,2.5,30.78333333,1138.9
2011,922344 ,25795,0.026008065,25881,26356,25344,10416841,2.63E+11,1.53E+13,591549050,-0.01,0,0,0,0,-55971000000,-0.14,0.369,80.23916667,3.25,21.53333333,1153.3
2012,1297349 ,25021,0.093387097,25072,25429,24693,5931197,1.49E+11,1.70E+13,679305466,-0.04,-0.01,0,0,0,-1.59E+11,-0.02,-0.2273,79.70916667,2.75,-2.5,1071.1
2013,1464502 ,29747,0.163036437,29807,30134,29421,4879724,1.45E+11,2.08E+13,700180058,0.81,0.25,0,0,0,2.87E+12,0.39,3.38,90.2775,2.5,4.475,1055.3
2014,1313237 ,43439,0.12722449,43522,43999,42926,3223724,1.38E+11,3.12E+13,717256128,1.16,0.26,0,0,0,4.20E+12,0.2,5.11,99.37083333,2,-6.316666667,1099.2
2015,1336946 ,40291,-0.15125,40398,40894,39822,3449904,1.36E+11,2.93E+13,728002365,1.18,0.21,500,1.6,3.53E+11,4.32E+12,0.09,5.34,100.0008333,1.5,-45.09166667,1172
2016,1469880 ,33937,0.173455285,33956,34384,33512,3164199,1.06E+11,2.47E+13,728002365,0.8,0.13,600,1.3,4.24E+11,2.96E+12,-0.08,3.28,99.04833333,1.25,-7.65,1208.5
2017,2340004 ,64291,0.245514403,64319,65172,63438,4058892,2.67E+11,4.68E+13,728002365,2.9,0.36,1000,1.3,7.06E+11,1.06E+13,0.75,13.72,156.78,1.5,19.01666667,1071.4
2018,2370654 ,78449,-0.070737705,78568,79562,77417,3814150,2.99E+11,5.71E+13,728002365,4.24,0.38,1500,2.5,1.03E+12,1.55E+13,0.34,20.84,203.5833333,1.75,26.20833333,1118.1
2019,2377490 ,75820,0.204308943,75829,76840,74843,3162420,2.38E+11,5.52E+13,728002365,0.54,0.04,1000,1.1,6.84E+11,2.01E+12,-0.33,2.72,156.2025,1.25,-9.658333333,1157.8
2020,2940664 ,88836,0.12608871,88907,90239,87558,4143442,3.65E+11,6.47E+13,728002365,1.3,0.09,1170,1,8.00E+11,4.76E+12,0.18,5.01,171.83,0.5,-31.71666667,1088
