날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률
200001월,4.75,34.27,,,,,,,,2.9,2.8,12.0,17.2,-4.4,0.6,27.64,1.45M,7.97
200002월,5.00,32,,,,,,,,2.0,2.0,15.2,21.5,-5.2,4.0,30.43,1.33M,10.09
200003월,5.00,35.29,,,,,,,,-3.3,-3.3,11.6,17.1,-6.7,0.4,26.9,1.48M,-11.6
200004월,5.00,35.65,,,,,,,,-4.3,-4.3,6.5,10.4,-6.3,-3.4,25.74,1.13M,-4.31
200005월,5.00,40.85,,,,,,,,-1.5,-1.5,8.7,12.6,-4.9,1.1,29.01,1.30M,12.7
200006월,5.00,44.69,,,,,,,,1.9,2.1,12.0,16.2,-2.9,3.9,32.5,1.48M,12.03
200007월,5.00,45.11,,,,,,,,3.7,3.9,9.8,13.3,-3.4,3.4,27.43,1.30M,-15.6
200008월,5.00,48.87,,,,,,,,0.5,0.7,4.0,6.8,-6.7,-0.9,33.12,1.44M,20.74
200009월,5.00,49.54,,,,,,,,-0.5,-0.3,4.3,6.9,-6.4,-0.2,30.84,1.59M,-6.88
200010월,5.25,44.18,,,,,,,,-6.0,-5.9,1.5,3.6,-7.6,-2.6,32.7,1.42M,6.03
200011월,5.25,40.18,,,,,,,,-6.7,-6.5,3.5,5.5,-5.3,0.7,33.82,1.29M,3.43
200012월,5.25,36.61,,,,,,,,-0.2,0.0,5.3,6.1,2.0,5.9,26.8,1.22M,-20.76
200101월,5.25,33.43,,,,,,,,0.1,0.2,8.4,8.7,6.3,9.4,28.66,1.37M,6.94
200102월,5.00,29.1,,,,,,,,-0.4,-0.4,7.0,7.0,6.3,8.9,27.39,1.34M,-4.43
200103월,5.00,28.46,,,,,,,,2.4,2.3,7.7,7.5,7.8,11.2,26.29,1.47M,-4.02
200104월,5.00,23.5,,,,,,,,5.1,5.1,13.2,13.5,10.3,18.0,28.46,1.26M,8.25
200105월,5.00,23.29,,,,,,,,0.8,0.6,9.4,9.3,8.6,13.3,28.37,1.29M,-0.32
200106월,5.00,21.71,,,,,,,,-3.2,-3.4,6.6,6.3,6.9,12.0,26.25,1.50M,-7.47
200107월,4.75,16.14,,,,,,,,-6.3,-6.5,5.3,4.5,8.4,11.7,26.35,1.39M,0.38
200108월,4.50,16.64,,,,,,,,-8.9,-9.1,4.2,3.1,8.7,10.5,27.2,1.48M,3.23
200109월,4.00,18.54,,,,,,,,-8.0,-8.2,1.1,-0.8,9.6,11.0,23.43,1.20M,-13.86
200110월,4.00,17.89,,,,,,,,-7.3,-7.5,-2.4,-4.9,9.4,9.5,21.18,1.36M,-9.6
