날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
201101월,2.75,79.06,"29,650","29,650","25,300","232,289,199","11,061,390","6,311,543,191,520","300,549,675,787",0.8,0.7,11.7,21.5,9.7,0.9,92.19,6.93M,0.89,440.51,6.97,"981,000","1,010,000","913,000","8,023,615","382,077","7,683,613,805,686","365,886,371,699"
201102월,2.75,70.04,"28,350","30,150","26,900","125,459,157","7,379,950","3,631,175,863,000","213,598,580,176",1.6,1.5,14.5,31,10,-0.5,96.97,6.10M,5.18,458.62,4.11,"923,000","983,000","915,000","6,335,937","372,702","6,020,961,858,383","354,174,226,964"
201103월,3,85.64,"31,300","31,550","27,550","221,844,506","10,083,841","6,478,479,539,100","294,476,342,686",5.1,5,17.7,33.4,13.5,1.9,106.72,6.87M,10.05,437.36,-4.64,"932,000","945,000","860,000","10,894,706","495,214","9,737,287,749,724","442,603,988,624"
201104월,3,79.59,"33,800","37,000","31,300","210,649,495","10,030,928","7,108,979,460,000","338,522,831,429",3.4,3.3,17.4,34.8,11.4,1.5,113.93,5.62M,6.76,449.56,2.79,"893,000","945,000","867,000","9,162,488","436,309","8,279,352,292,709","394,254,871,081"
201105월,3,80,"30,100","34,600","29,500","151,998,195","7,599,910","4,904,970,815,940","245,248,540,797",-0.9,-0.9,11.7,26.1,6.9,-1.5,102.7,7.60M,-9.86,439.6,-2.22,"902,000","938,000","856,000","7,872,323","393,616","7,072,599,339,033","353,629,966,952"
201106월,3.25,80.36,"25,050","28,900","24,650","236,066,809","11,241,277","6,354,361,623,460","302,588,648,736",-4.8,-4.9,8.6,24.5,3.2,-5,95.42,7.33M,-7.09,410.35,-6.65,"826,000","911,000","800,000","6,986,178","332,675","5,916,122,763,778","281,720,131,608"
201107월,3.25,75.63,"24,250","28,000","22,950","224,682,584","10,699,171","5,636,399,829,110","268,399,991,862",-6,-6.1,7.6,25.4,1.6,-7.4,95.7,5.45M,0.29,386.94,-5.7,"844,000","899,000","813,000","6,420,221","305,725","5,472,423,141,907","260,591,578,186"
201108월,3.25,78.94,"19,100","25,550","15,600","377,213,582","17,146,072","7,379,233,380,750","335,419,699,125",-2.7,-2.8,8,23,2.6,-4.4,88.81,8.28M,-7.2,355.79,-8.05,"744,000","870,000","680,000","10,943,751","497,443","8,128,861,134,601","369,493,687,936"
201109월,3.25,88.13,"21,350","21,900","17,000","279,111,657","13,955,583","5,679,510,775,440","283,975,538,772",1,0.9,11.9,27.7,6,-0.6,79.2,6.45M,-10.82,338.82,-4.77,"840,000","840,000","727,000","8,243,322","412,166","6,495,131,973,135","324,756,598,657"
201110월,3.25,84.42,"22,850","24,150","20,000","175,458,647","8,772,932","3,907,321,465,400","195,366,073,270",5.3,5.2,14.5,29.2,8.3,4,93.19,6.57M,17.66,386.49,14.07,"968,000","968,000","828,000","8,309,646","415,482","7,411,423,372,731","370,571,168,637"
