date,등락,등락지표,등락분류,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,삼성종가,SOX종가,SOX변동률,BTC종가,BTC변동률,종가코스피,고가코스피,저가코스피,거래량코스피,코스피변동,종가코스닥,시가코스닥,고가코스닥,저가코스닥,거래량코스닥,변동코스닥
2010-07-19,1,1,1,23700,200,0.85,23700,24100,23500,10915618,260000000000.0,14000000000000.0,590232289,1201.1,76.54,75.72,77.69,75.5,0.7,2.0,0.25,-1.75,90.74,795000,357.94,2.51,0.1,0.0,"1,731.95","1,737.90","1,717.97",282.11M,-0.37,498.49,494.36,499.63,494.36,506.01K,-0.08
2010-07-20,1,1,1,23850,150,0.63,23850,24050,23550,6009885,143000000000.0,14100000000000.0,590232289,1215.9,77.44,76.4,77.57,75.65,1.18,2.0,0.25,-1.75,90.74,798000,358.13,0.05,0.1,0.0,"1,736.77","1,740.82","1,724.60",308.03M,0.28,499.72,501.32,501.64,498.43,686.75K,0.25
2010-07-21,0,-1,-1,23600,-250,-1.05,24250,24350,23500,7489851,179000000000.0,13900000000000.0,590232289,1211.8,76.56,77.85,78.57,76.2,-1.14,2.0,0.25,-1.75,90.74,817000,351.13,-1.95,0.1,0.0,"1,748.78","1,755.66","1,740.11",375.93M,0.69,496.73,502.63,503.08,496.73,721.15K,-0.6
2010-07-22,0,-1,-1,22600,-1000,-4.24,23850,24000,22250,21388196,491000000000.0,13300000000000.0,590275583,1203.6,79.3,76.43,79.42,76.16,3.58,2.0,0.25,-1.75,90.74,808000,362.66,3.28,0.1,0.0,"1,735.53","1,752.58","1,732.49",405.18M,-0.76,484.72,496.47,497.84,482.97,668.02K,-2.42
2010-07-23,1,1,1,23250,650,2.88,23000,23400,22800,12343729,286000000000.0,13700000000000.0,590275583,1206.9,78.98,79.27,79.6,78.4,-0.4,2.0,0.25,-1.75,90.74,811000,364.53,0.52,0.1,0.0,"1,758.06","1,760.62","1,745.04",372.76M,1.3,483.69,490.17,490.65,480.66,532.19K,-0.21
2010-07-26,1,1,1,23950,700,3.01,23300,24150,23300,9656787,231000000000.0,14100000000000.0,590275583,1197.2,78.98,78.98,79.33,78.06,0.0,2.0,0.25,-1.75,90.74,818000,369.5,1.36,0.1,0.0,"1,769.07","1,774.05","1,758.99",320.60M,0.63,488.14,485.82,488.36,485.63,499.37K,0.92
2010-07-27,0,-1,-1,23500,-450,-1.88,24200,24200,23500,37144652,888000000000.0,13900000000000.0,590275583,1194.4,77.5,78.92,79.69,76.79,-1.87,2.0,0.25,-1.75,90.74,829000,366.08,-0.93,0.1,0.0,"1,768.31","1,778.72","1,765.42",361.54M,-0.04,487.74,491.19,491.74,487.74,619.41K,-0.08
2010-07-28,0,-1,-1,23100,-400,-1.7,23700,23850,22700,13310872,308000000000.0,13600000000000.0,590275583,1183.6,76.99,77.08,77.74,75.9,-0.66,2.0,0.25,-1.75,90.74,837000,359.47,-1.81,0.1,0.0,"1,773.47","1,775.82","1,764.54",325.70M,0.29,486.75,490.18,490.74,486.68,547.81K,-0.2
2010-07-29,0,-1,-1,22350,-750,-3.25,22900,23250,22300,12478780,282000000000.0,13200000000000.0,590275583,1186.5,78.36,76.89,78.89,76.45,1.78,2.0,0.25,-1.75,90.74,827000,352.52,-1.93,0.1,0.0,"1,770.88","1,776.96","1,767.96",348.62M,-0.15,482.56,487.97,488.82,482.14,605.48K,-0.86
2010-07-30,1,1,1,22500,150,0.67,22250,22850,22150,8930756,200000000000.0,13300000000000.0,590275583,1187.2,78.95,78.25,79.05,76.83,0.75,2.0,0.25,-1.75,90.74,810000,348.81,-1.05,0.1,0.0,"1,759.33","1,774.74","1,754.58",370.94M,-0.65,481.45,483.76,484.43,479.27,484.88K,-0.23
2010-08-02,0,-1,-1,21600,-900,-4.0,22550,22650,21500,18732935,410000000000.0,12800000000000.0,590275583,1185.0,81.34,78.95,81.77,78.83,3.03,2.0,0.25,-1.75,90.74,810000,354.94,1.76,0.1,0.0,"1,782.27","1,784.10","1,767.60",332.86M,1.3,481.98,483.89,484.7,481.75,494.94K,0.11
2010-08-03,1,1,1,21950,350,1.62,21950,22400,21800,14346069,316000000000.0,13000000000000.0,590275583,1173.4,82.55,81.41,82.64,81.11,1.49,2.0,0.25,-1.75,90.74,815000,351.25,-1.04,0.1,0.0,"1,790.60","1,796.28","1,784.57",349.33M,0.47,481.94,485.08,485.4,481.72,575.93K,-0.01
2010-08-04,0,-1,-1,21600,-350,-1.59,22000,22250,21400,11434849,249000000000.0,12800000000000.0,590275583,1168.7,82.47,82.42,82.97,81.62,-0.1,2.0,0.25,-1.75,90.74,806000,354.71,0.99,0.1,0.0,"1,789.26","1,795.23","1,774.48",335.35M,-0.07,479.59,483.53,483.82,478.1,533.36K,-0.49
2010-08-05,1,1,1,21900,300,1.39,22000,22400,21700,11637399,257000000000.0,12900000000000.0,590275583,1169.5,82.01,82.44,82.48,81.56,-0.56,2.0,0.25,-1.75,90.74,804000,352.44,-0.64,0.1,0.0,"1,783.86","1,797.42","1,773.49",338.14M,-0.3,476.47,482.88,483.53,474.71,530.78K,-0.65
2010-08-06,1,1,1,22850,950,4.34,22100,22900,22050,14508311,327000000000.0,13500000000000.0,590275583,1168.2,80.7,82.12,82.67,80.04,-1.6,2.0,0.25,-1.75,90.74,801000,351.75,-0.2,0.1,0.0,"1,783.83","1,785.98","1,769.46",336.26M,0.0,478.47,477.94,478.52,474.09,545.72K,0.42
2010-08-09,0,-1,-1,22700,-150,-0.66,22900,23100,22600,6486022,148000000000.0,13400000000000.0,590275583,1165.7,81.48,80.91,81.76,80.71,0.97,2.0,0.25,-1.75,90.74,802000,354.05,0.65,0.1,0.0,"1,790.17","1,790.21","1,776.72",290.70M,0.36,483.87,479.87,484.21,479.79,490.84K,1.13
2010-08-10,0,-1,-1,22600,-100,-0.44,22850,23250,22600,7329207,168000000000.0,13300000000000.0,590275583,1159.1,80.25,81.44,81.62,79.2,-1.51,2.0,0.25,-1.75,90.74,793000,344.74,-2.63,0.1,0.0,"1,781.13","1,794.55","1,779.57",301.06M,-0.5,482.16,486.05,486.08,482.12,550.15K,-0.35
2010-08-11,0,-1,-2,21200,-1400,-6.19,22000,22100,21200,18929287,408000000000.0,12500000000000.0,590275583,1167.2,78.02,80.22,80.44,77.25,-2.78,2.0,0.25,-1.75,90.74,779000,330.06,-4.26,0.1,0.0,"1,758.19","1,776.99","1,754.18",380.36M,-1.29,475.14,482.14,483.26,474.14,605.07K,-1.46
2010-08-12,0,0,0,21200,0,0.0,20600,21500,20200,13041798,274000000000.0,12500000000000.0,590275583,1177.3,75.74,77.31,77.97,75.52,-2.92,2.0,0.25,-1.75,90.74,766000,325.75,-1.31,0.1,0.0,"1,721.75","1,742.80","1,721.75",359.76M,-2.07,470.98,468.06,473.28,467.36,561.60K,-0.88
2010-08-13,1,1,1,21650,450,2.12,21500,21800,21300,7460749,161000000000.0,12800000000000.0,590275583,1193.6,75.39,75.75,76.74,75.01,-0.46,2.0,0.25,-1.75,90.74,781000,322.74,-0.92,0.1,0.0,"1,746.24","1,747.11","1,725.24",278.60M,1.42,477.17,473.96,477.19,473.94,507.42K,1.31
2010-08-16,1,1,1,22100,450,2.08,21550,22150,21200,7543971,164000000000.0,13000000000000.0,590276011,1186.7,75.24,75.6,75.95,74.86,-0.2,2.0,0.25,-1.75,90.74,782000,324.26,0.47,0.1,0.0,"1,743.31","1,746.02","1,716.86",314.46M,-0.17,476.08,477.97,478,473.39,498.58K,-0.23
2010-08-17,0,0,0,22100,0,0.0,21900,22250,21700,5851598,129000000000.0,13000000000000.0,590276011,1193.2,75.77,75.06,76.63,75.01,0.7,2.0,0.25,-1.75,90.74,782000,328.6,1.34,0.1,0.0,"1,755.03","1,757.22","1,734.51",427.00M,0.67,477.65,477.34,478.29,476.42,563.70K,0.33
2010-08-18,0,-1,-1,21700,-400,-1.81,22250,22300,21500,7017763,153000000000.0,12800000000000.0,590276011,1178.7,75.42,75.45,75.74,73.83,-0.46,2.0,0.25,-1.75,90.74,778000,332.1,1.07,0.1,0.0,"1,761.99","1,765.01","1,753.68",371.48M,0.4,478.33,480.5,480.79,478.2,472.17K,0.14
2010-08-19,1,1,1,22500,800,3.69,22150,22650,22000,9857803,221000000000.0,13300000000000.0,590276011,1173.9,74.43,75.27,76.1,73.96,-1.31,2.0,0.25,-1.75,90.74,789000,326.42,-1.71,0.1,0.0,"1,779.64","1,781.07","1,762.98",344.95M,1.0,480.77,480.34,481.42,480.34,519.13K,0.51
2010-08-20,0,-1,-1,22000,-500,-2.22,22250,22450,21950,6506966,144000000000.0,13000000000000.0,590276011,1173.3,73.46,74.45,74.6,73.19,-1.3,2.0,0.25,-1.75,90.74,784000,327.88,0.45,0.1,0.0,"1,775.54","1,776.35","1,765.58",362.00M,-0.23,480.38,478.62,480.97,478.55,485.32K,-0.08
2010-08-23,0,-1,-1,21400,-600,-2.73,22000,22350,21300,8185249,178000000000.0,12600000000000.0,590276011,1179.9,73.1,73.9,74.48,72.75,-0.49,2.0,0.25,-1.75,90.74,790000,323.78,-1.25,0.1,0.0,"1,767.71","1,788.71","1,766.77",330.34M,-0.44,477.14,482.82,484.01,477.14,487.38K,-0.67
2010-08-24,1,1,1,21950,550,2.57,21300,22050,21050,7212879,156000000000.0,13000000000000.0,590276011,1181.8,71.63,72.95,73.05,71.32,-2.01,2.0,0.25,-1.75,90.74,783000,318.41,-1.66,0.1,0.0,"1,760.53","1,771.76","1,749.11",401.70M,-0.41,474.97,478.14,478.49,474.42,539.58K,-0.45
2010-08-25,1,1,1,22050,100,0.46,21700,22150,21550,7298041,160000000000.0,13000000000000.0,590276011,1189.0,72.52,71.47,72.97,70.76,1.24,2.0,0.25,-1.75,90.74,772000,321.5,0.97,0.1,0.0,"1,734.79","1,753.57","1,734.79",346.28M,-1.46,467.81,470.6,472.56,467.78,485.92K,-1.51
2010-08-26,1,1,1,22600,550,2.49,22400,23000,22050,15405418,349000000000.0,13300000000000.0,590276011,1195.4,73.36,72.82,73.98,72.54,1.16,2.0,0.25,-1.75,90.74,773000,315.23,-1.95,0.1,0.0,"1,729.76","1,744.40","1,729.76",303.05M,-0.29,464.53,471.28,472.11,464.51,550.90K,-0.7
2010-08-27,0,-1,-1,22550,-50,-0.22,22500,22700,22250,6317557,142000000000.0,13300000000000.0,590276011,1194.4,75.17,73.18,75.59,72.04,2.47,2.0,0.25,-1.75,90.74,766000,321.76,2.07,0.1,0.0,"1,729.56","1,732.84","1,719.20",245.58M,-0.01,461.52,464.09,465.19,460.49,485.48K,-0.65
2010-08-30,0,-1,-1,22500,-50,-0.22,22900,22950,22350,7788047,176000000000.0,13300000000000.0,590276011,1195.2,74.7,75.5,75.58,74.01,-0.63,2.0,0.25,-1.75,90.74,776000,313.58,-2.54,0.1,0.0,"1,760.13","1,760.35","1,746.21",247.36M,1.77,466.09,466.93,467.83,465.97,530.69K,0.99
2010-08-31,0,-1,-2,21100,-1400,-6.22,22100,22200,21000,18006565,385000000000.0,12500000000000.0,590276011,1189.1,71.92,74.07,74.73,71.53,-3.72,2.25,0.25,-2.0,90.74,756000,307.49,-1.94,0.1,0.0,"1,742.75","1,752.07","1,736.23",289.49M,-0.99,464.71,464.64,466.03,462.06,517.38K,-0.3
2010-09-01,0,-1,-1,20850,-250,-1.18,21250,21350,20500,17891433,374000000000.0,12300000000000.0,590276011,1196.8,73.91,71.7,74.48,71.67,2.77,2.25,0.25,-2.0,91.77,752000,316.75,3.01,0.1,0.0,"1,764.69","1,767.21","1,748.30",305.27M,1.26,469.75,467.75,469.76,467.75,563.58K,1.08
2010-09-02,1,1,1,21100,250,1.2,21300,21400,20900,12935639,273000000000.0,12500000000000.0,590276011,1190.6,75.02,73.91,75.14,73.11,1.5,2.25,0.25,-2.0,91.77,759000,323.32,2.07,0.1,0.0,"1,775.73","1,783.85","1,767.67",292.78M,0.63,473,474.24,474.72,472.55,535.73K,0.69
2010-09-03,1,1,1,21800,700,3.32,21300,21950,21300,13682222,296000000000.0,12900000000000.0,590276011,1181.0,74.6,74.93,75.44,73.2,-0.56,2.25,0.25,-2.0,91.77,761000,328.71,1.67,0.1,0.0,"1,780.02","1,786.04","1,774.95",312.02M,0.24,478.3,475.98,478.37,475.92,597.86K,1.12
2010-09-06,1,1,1,21850,50,0.23,22200,22450,21750,9768969,216000000000.0,12900000000000.0,590276011,1177.8,74.345,74.615,75.035,72.915,-0.62,2.25,0.25,-2.0,91.77,780000,325.51,-0.14,0.1,0.0,"1,792.42","1,794.07","1,784.49",328.11M,0.7,482.82,482.82,483.04,481.65,512.95K,0.95
2010-09-07,0,-1,-1,21500,-350,-1.6,21750,21950,21300,7147421,154000000000.0,12700000000000.0,590276011,1171.2,74.09,74.3,74.63,72.63,-0.68,2.25,0.25,-2.0,91.77,788000,322.31,-1.95,0.1,0.0,"1,787.74","1,796.50","1,786.37",316.86M,-0.26,480.2,484.15,484.5,480.07,701.08K,-0.54
2010-09-08,0,-1,-1,20750,-750,-3.49,21100,21200,20500,16624161,344000000000.0,12200000000000.0,590276011,1176.4,74.67,73.91,75.39,73.37,0.78,2.25,0.25,-2.0,91.77,771000,320.9,-0.44,0.1,0.0,"1,779.22","1,785.48","1,770.78",322.53M,-0.48,478.6,479.33,480.84,477.33,573.59K,-0.33
2010-09-09,0,-1,-1,20300,-450,-2.17,20800,21050,20100,15189733,311000000000.0,12000000000000.0,590276011,1176.2,74.25,74.92,75.96,73.88,-0.56,2.25,0.25,-2.0,91.77,756000,321.08,0.06,0.1,0.0,"1,784.36","1,790.47","1,775.07",367.86M,0.29,481.86,481.55,482.54,479.62,543.55K,0.68
2010-09-10,1,1,1,20650,350,1.72,20500,20800,20350,8103091,167000000000.0,12200000000000.0,590276011,1169.1,76.45,74.4,76.73,74.37,2.96,2.25,0.25,-2.0,91.77,766000,316.57,-1.4,0.1,0.0,"1,802.58","1,808.18","1,791.95",340.65M,1.02,484.48,484.14,484.67,483.09,480.41K,0.54
2010-09-13,0,-1,-1,20500,-150,-0.73,20650,21000,20400,9030044,187000000000.0,12100000000000.0,590276011,1166.4,77.19,76.36,78.04,76.36,0.97,2.25,0.25,-2.0,91.77,770000,327.17,3.35,0.1,0.0,"1,818.86","1,819.12","1,807.59",386.84M,0.9,483.49,487.07,487.21,483.27,480.84K,-0.2
2010-09-14,0,-1,-1,20450,-50,-0.24,21100,21250,20300,11749312,244000000000.0,12100000000000.0,590276011,1161.4,76.8,77.17,77.99,76.21,-0.51,2.25,0.25,-2.0,91.77,760000,332.76,1.71,0.1,0.0,"1,815.25","1,827.03","1,810.78",387.03M,-0.2,481.79,486.09,486.13,481.68,526.55K,-0.35
2010-09-15,1,1,1,21000,550,2.69,20700,21000,20350,9591589,199000000000.0,12400000000000.0,590276011,1161.4,76.02,76.64,76.65,74.66,-1.02,2.25,0.25,-2.0,91.77,757000,331.64,-0.34,0.1,0.0,"1,823.88","1,827.00","1,813.09",338.94M,0.48,481.28,483.48,483.89,479.61,523.47K,-0.11
2010-09-16,1,1,1,21100,100,0.48,20900,21300,20800,9047633,191000000000.0,12500000000000.0,590276011,1160.8,74.57,75.76,75.99,74.11,-1.91,2.25,0.25,-2.0,91.77,757000,334.24,0.78,0.1,0.0,"1,811.85","1,824.61","1,811.85",336.25M,-0.66,480.62,483.23,484.07,480.61,515.72K,-0.14
2010-09-17,1,1,2,22500,1400,6.64,21400,22500,21350,24186132,532000000000.0,13300000000000.0,590276011,1163.2,73.66,74.47,75.25,72.75,-1.22,2.25,0.25,-2.0,91.77,773000,334.35,0.03,0.1,0.0,"1,827.35","1,828.54","1,812.05",317.38M,0.86,483.25,483.25,483.59,480.91,588.16K,0.55
2010-09-20,0,-1,-1,22100,-400,-1.78,22600,22650,22000,10471186,233000000000.0,13000000000000.0,590276011,1163.1,74.86,73.59,75.45,73.32,1.63,2.25,0.25,-2.0,91.77,780000,336.12,0.53,0.1,0.0,"1,832.63","1,833.78","1,818.60",242.70M,0.29,483.83,484.99,485.35,483.46,404.80K,0.12
2010-09-24,0,-1,-1,21100,-1000,-4.52,21700,21750,21050,15723927,334000000000.0,12500000000000.0,590276011,1162.1,76.49,74.95,76.68,74.66,1.74,2.25,0.25,-2.0,91.77,762000,346.14,4.0,0.1,0.0,"1,846.60","1,846.60","1,825.80",274.23M,0.76,485.15,484.75,485.29,482.86,382.40K,0.27
2010-09-27,1,1,1,21200,100,0.47,21550,21800,21100,11332593,242000000000.0,12500000000000.0,590276011,1156.4,76.52,76.47,77.17,75.52,0.04,2.25,0.25,-2.0,91.77,755000,343.8,-0.68,0.1,0.0,"1,860.83","1,862.03","1,851.97",383.63M,0.77,486.29,488.24,488.53,486.18,406.17K,0.23
2010-09-28,1,1,1,21350,150,0.71,21250,21650,21100,6960963,149000000000.0,12600000000000.0,590276011,1148.8,76.18,76.23,77.12,75.53,-0.44,2.25,0.25,-2.0,91.77,745000,349.46,1.65,0.1,0.0,"1,855.97","1,862.72","1,852.52",357.14M,-0.26,487.74,487.03,489.17,486.95,524.94K,0.3
2010-09-29,1,1,1,21850,500,2.34,21500,22200,21500,12752750,280000000000.0,12900000000000.0,590276439,1148.5,77.86,76.2,78.13,75.6,2.21,2.25,0.25,-2.0,91.77,772000,351.79,0.67,0.1,0.0,"1,866.45","1,873.79","1,864.43",359.93M,0.56,489.61,489.84,490.89,489.6,463.68K,0.38
2010-09-30,1,1,1,22150,300,1.37,22050,22300,21750,7530575,166000000000.0,13100000000000.0,590276439,1142.0,79.97,77.91,80.18,77.55,2.71,2.25,0.25,-2.0,91.77,777000,349.24,-0.72,0.1,0.0,"1,872.81","1,872.81","1,861.18",353.55M,0.34,492.75,491.69,493.24,491.26,473.69K,0.64
2010-10-01,1,1,1,22450,300,1.35,22100,22450,21900,8945751,199000000000.0,13300000000000.0,590276439,1141.3,81.58,79.84,81.75,79.7,2.01,2.25,0.25,-2.0,80.1,777000,348.06,-0.34,0.1,0.0,"1,876.73","1,884.00","1,868.90",366.20M,0.21,495.06,494.6,495.91,493.14,485.37K,0.47
2010-10-04,1,1,1,22500,50,0.22,22600,22950,22450,10634669,242000000000.0,13300000000000.0,590276439,1134.4,81.47,81.68,82.38,80.77,-0.13,2.25,0.25,-2.0,80.1,780000,343.12,-1.42,0.1,0.0,"1,879.29","1,889.50","1,875.93",392.50M,0.14,493.78,497.92,498.08,493.75,497.66K,-0.26
2010-10-05,1,1,1,22750,250,1.11,22350,22750,22000,8459372,189000000000.0,13400000000000.0,590276439,1124.1,82.82,81.37,82.99,81.15,1.66,2.25,0.25,-2.0,80.1,773000,350.91,2.27,0.1,0.0,"1,878.94","1,885.00","1,868.89",342.73M,-0.02,493.55,493.37,495.09,492.28,436.79K,-0.05
2010-10-06,1,1,1,23400,650,2.86,23300,23600,23100,15727497,367000000000.0,13800000000000.0,590276439,1130.7,83.23,82.6,84.09,82.29,0.5,2.25,0.25,-2.0,80.1,793000,345.34,-1.59,0.1,0.0,"1,903.95","1,905.73","1,894.02",392.06M,1.33,497.33,498.39,498.49,496.26,474.65K,0.77
2010-10-07,0,-1,-1,23200,-200,-0.85,23250,23500,22950,9521740,221000000000.0,13700000000000.0,590276439,1120.1,81.67,83.27,84.43,81.0,-1.87,2.25,0.25,-2.0,80.1,770000,346.83,0.43,0.1,0.0,"1,900.85","1,906.02","1,893.14",398.96M,-0.16,496.14,499.24,499.95,494.59,493.95K,-0.24
2010-10-08,1,1,1,23500,300,1.29,23200,23700,23150,7573508,178000000000.0,13900000000000.0,590276439,1117.4,82.66,81.43,83.13,80.3,1.21,2.25,0.25,-2.0,80.1,758000,350.15,0.96,0.1,0.0,"1,897.07","1,900.86","1,887.98",374.07M,-0.2,497.08,498.37,498.75,495.08,410.38K,0.19
2010-10-11,0,-1,-1,22350,-1150,-4.89,23750,23800,22250,14794038,337000000000.0,13200000000000.0,590276439,1119.7,82.21,82.95,83.5,81.82,-0.54,2.25,0.25,-2.0,80.1,753000,352.67,0.72,0.1,0.0,"1,889.91","1,909.01","1,885.08",341.19M,-0.38,496.8,500.32,500.35,496.06,414.40K,-0.06
