date,종가,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,SOX종가,SOX변동률,BTC종가,BTC변동률,등락.분류
2019-06-19,67200,1185.0,53.76,54.09,54.42,53.28,-0.26,1.75,2.5,0.75,149.27,1407.3,0.08,9255.4,1.93,2
2020-05-20,84100,1224.5,33.49,31.89,33.78,31.56,3.05,0.75,0.25,-0.5,173.6,1840.79,3.67,9512.3,-2.67,1
2012-03-27,30450,1138.1,107.33,107.09,107.73,106.52,0.28,3.25,0.25,-3.0,72.52,441.6,-0.06,4.8,4.11,1
2015-01-29,47400,1082.9,44.53,44.43,44.96,43.58,0.18,2.0,0.25,-1.75,102.6,666.63,0.08,234.0,-0.92,-1
2016-06-08,28550,1163.2,51.23,50.41,51.62,50.32,1.73,1.5,0.5,-1.0,100.66,710.19,-0.05,580.5,0.86,-1
2016-06-01,28500,1190.5,49.01,48.82,49.25,47.75,-0.18,1.5,0.5,-1.0,100.66,703.29,0.56,537.4,1.6,-1
2012-11-05,26150,1091.2,85.65,84.65,85.9,84.34,0.93,2.75,0.25,-2.5,87.23,378.38,1.63,10.8,-0.46,1
2018-06-18,84000,1091.4,65.85,64.4,65.98,63.59,1.21,1.5,2.0,0.5,197.78,1407.91,-0.99,6719.8,4.02,-1
2017-12-05,77900,1088.3,57.62,57.48,57.92,57.08,0.26,1.5,1.25,-0.25,185.53,1228.51,0.05,11667.1,0.37,-1
2016-10-27,43000,1132.4,49.72,49.22,50.06,49.0,1.1,1.25,0.5,-0.75,107.3,823.74,-0.42,682.3,1.13,1
2015-12-24,31700,1171.7,38.1,37.86,38.28,37.38,1.6,1.5,0.5,-1.0,78.93,674.39,0.39,453.0,2.38,-1
2013-08-13,28300,1113.0,106.83,106.15,107.2,105.56,0.68,2.5,0.25,-2.25,102.85,479.07,1.15,109.6,2.61,1
2014-04-01,37000,1066.1,99.74,101.53,101.57,99.28,-1.81,2.5,0.25,-2.25,91.69,595.91,1.56,463.5,4.23,1
2013-06-11,32500,1123.6,95.38,95.76,95.91,94.04,-0.41,2.5,0.25,-2.25,91.17,463.43,-2.22,109.0,2.49,-1
2015-06-29,42600,1115.1,58.33,58.84,59.27,58.04,-2.18,1.75,0.25,-1.5,100.95,678.07,-2.91,257.0,3.25,1
2016-03-31,28150,1153.5,38.34,38.3,39.04,37.57,0.05,1.5,0.5,-1.0,100.61,676.89,-0.57,415.7,0.78,-1
2010-08-30,22500,1195.2,74.7,75.5,75.58,74.01,-0.63,2.0,0.25,-1.75,90.74,313.58,-2.54,0.1,0.0,-1
2014-10-20,44900,1062.7,82.71,83.13,83.48,81.55,-0.05,2.25,0.25,-2.0,113.63,584.15,1.53,380.4,-1.78,1
2021-03-02,144500,1121.8,59.75,60.23,61.21,59.38,-1.47,0.5,0.25,-0.25,195.37,3070.94,-3.1,48424.2,-2.36,1
2015-12-09,30250,1176.0,37.16,37.86,38.99,36.87,-0.93,1.5,0.25,-1.25,78.93,670.29,-1.29,416.0,1.3,1
2016-10-25,41050,1134.5,49.96,50.49,50.93,49.27,-1.11,1.25,0.5,-0.75,107.3,828.67,-0.13,651.0,0.08,1
2015-01-02,47750,1099.2,52.69,53.76,55.11,52.03,-3.44,2.0,0.25,-1.75,102.6,686.73,-0.02,315.2,0.1,0
2020-07-20,82200,1205.7,40.81,40.64,40.91,39.83,0.54,0.5,0.25,-0.25,164.17,2110.47,2.0,9162.4,-0.5,-1
2019-04-05,79000,1135.5,63.08,62.18,63.34,61.82,1.58,1.75,2.5,0.75,164.28,1477.65,0.8,5010.2,2.2,1
2020-01-30,94000,1176.0,52.14,53.09,53.2,51.66,-2.23,1.25,1.75,0.5,149.88,1855.8,-0.16,9507.3,2.24,-1
2019-02-13,76200,1124.6,53.9,53.35,54.6,53.27,1.51,1.75,2.5,0.75,132.76,1340.71,0.3,3611.5,-0.56,1
2021-03-09,136500,1131.3,64.01,64.73,65.98,63.63,-1.6,0.5,0.25,-0.25,195.37,2932.21,6.13,54879.0,4.91,1
2020-11-16,98000,1115.1,41.34,40.17,42.09,40.15,3.02,0.5,0.25,-0.25,174.85,2570.98,2.48,16715.8,4.78,2
2016-02-03,27450,1203.1,32.28,29.75,32.75,29.4,8.03,1.5,0.5,-1.0,78.93,597.11,0.24,368.0,-1.58,-1
2014-11-06,47950,1078.7,77.91,78.87,78.98,77.12,-0.98,2.0,0.25,-1.75,102.6,643.3,-0.88,347.7,2.86,1
2012-06-21,24550,1152.7,78.2,81.08,81.2,77.93,-4.4,3.25,0.25,-3.0,74.69,372.71,-4.09,6.7,0.0,-1
2010-08-26,22600,1195.4,73.36,72.82,73.98,72.54,1.16,2.0,0.25,-1.75,90.74,315.23,-1.95,0.1,0.0,1
2021-03-16,140500,1135.9,64.8,65.33,65.43,63.8,-0.9,0.5,0.25,-0.25,195.37,3070.32,1.26,56889.7,1.97,1
2010-11-04,22950,1110.3,86.49,85.09,86.83,84.92,2.13,2.25,0.25,-2.0,80.1,389.75,3.16,0.2,0.0,2
2019-08-30,77400,1215.2,55.1,56.63,56.72,54.55,-2.84,1.5,2.25,0.75,170.23,1504.92,0.61,9585.4,0.99,2
2013-10-15,33450,1072.3,101.21,102.19,102.46,100.87,-1.17,2.5,0.25,-2.25,101.29,496.5,-0.89,158.1,4.44,1
2015-03-11,43400,1119.5,48.17,48.77,49.05,47.33,-0.25,2.0,0.25,-1.75,102.6,703.16,0.27,295.6,1.45,-1
2015-06-24,43350,1104.1,60.27,61.14,61.57,59.8,-1.21,1.75,0.25,-1.5,100.95,716.49,-1.02,240.6,-1.31,-1
2019-08-08,72300,1214.5,52.54,52.33,53.06,51.94,2.84,1.5,2.25,0.75,170.23,1491.26,2.7,12191.6,1.48,-1
2010-11-12,22800,1107.5,84.88,87.73,87.85,84.52,-3.34,2.25,0.25,-2.0,80.1,382.61,0.03,0.3,0.0,-1
2016-09-02,36650,1119.3,44.44,43.55,44.67,43.16,2.97,1.25,0.5,-0.75,109.03,806.95,-0.17,575.3,0.58,1
2021-04-07,143500,1122.9,59.77,59.26,60.04,58.12,0.74,0.5,0.25,-0.25,200.03,3266.46,0.01,55948.7,-3.53,1
2019-06-27,70200,1158.2,59.43,59.27,59.73,58.61,0.08,1.75,2.5,0.75,149.27,1456.9,1.47,11287.8,-13.59,1
2020-10-23,83900,1134.1,39.85,40.61,40.92,39.57,-1.94,0.5,0.25,-0.25,174.85,2360.23,-0.43,12934.1,-0.31,1
2020-02-11,99800,1189.8,49.94,49.61,50.69,49.58,0.75,1.25,1.75,0.5,182.42,1931.08,2.02,10229.5,3.81,1
2016-11-04,41200,1140.6,44.07,44.63,44.87,43.57,-1.32,1.25,0.5,-0.75,110.76,802.88,-0.63,702.1,2.51,1
2016-10-31,41000,1145.2,46.86,48.25,48.74,46.63,-3.78,1.25,0.5,-0.75,107.3,823.52,0.57,698.7,0.2,-1
2018-04-17,82800,1073.1,66.52,66.42,66.75,65.56,0.45,1.5,1.75,0.25,187.7,1357.72,1.89,7908.6,-2.0,-1
2010-08-04,21600,1168.7,82.47,82.42,82.97,81.62,-0.1,2.0,0.25,-1.75,90.74,354.71,0.99,0.1,0.0,-1
2016-03-25,29150,1167.1,39.425,39.64,39.955,38.595,-0.505,1.5,0.5,-1.0,100.61,665.675,-0.1,415.7,0.23,-1
2011-06-23,26350,1075.0,91.02,94.4,94.47,89.69,-4.6,3.0,0.25,-2.75,80.36,402.56,1.47,17.5,0.0,1
2015-05-18,45450,1089.2,59.43,59.85,60.88,59.06,-0.44,1.75,0.25,-1.5,100.95,716.54,0.99,232.6,-1.55,1
2019-12-06,80600,1190.2,59.2,58.32,59.85,57.7,1.32,1.25,1.75,0.5,149.88,1724.21,1.56,7530.8,1.78,1
2020-09-14,80000,1188.3,37.26,37.32,37.68,36.82,-0.19,0.5,0.25,-0.25,174.85,2181.75,2.12,10675.3,3.38,1
2017-09-25,86300,1136.3,52.22,50.68,52.28,50.39,3.08,1.25,1.25,0.0,182.32,1126.94,-1.97,3932.8,7.23,1
2012-01-04,23850,1150.9,103.22,102.99,103.74,101.88,0.25,3.25,0.25,-3.0,72.25,368.66,0.02,5.6,14.14,1
2015-10-27,32150,1134.1,43.2,43.78,43.91,42.58,-1.77,1.5,0.25,-1.25,99.06,665.71,-0.67,294.7,3.34,-1
2014-02-17,38700,1061.9,100.58,100.59,100.83,100.23,0.28,2.5,0.25,-2.25,84.98,559.785,0.4,272.3,-9.18,-1
2019-07-15,76200,1177.3,59.58,60.25,60.92,59.2,-1.05,1.75,2.5,0.75,149.27,1515.92,0.77,10845.9,6.33,1
2019-12-16,88600,1171.7,60.21,59.87,60.34,59.71,0.23,1.25,1.75,0.5,149.88,1813.31,0.96,6903.5,-3.16,1
2017-12-20,80100,1086.8,58.09,57.66,58.12,57.44,1.1,1.5,1.5,0.0,185.53,1285.44,0.7,16462.0,-6.06,-1
2013-06-27,30650,1153.4,97.05,95.52,97.41,95.35,1.62,2.5,0.25,-2.25,91.17,466.74,0.39,101.7,-2.17,1
2011-10-11,22250,1173.0,85.81,85.7,86.64,83.97,0.47,3.25,0.25,-3.0,84.42,365.7,-0.3,3.9,-4.15,1
2014-01-20,36850,1061.0,93.93,94.31,94.31,93.66,-0.46,2.5,0.25,-2.25,84.98,539.82,0.04,956.0,0.12,1
2017-07-07,66600,1153.5,44.23,45.35,45.42,43.78,-2.83,1.25,1.25,0.0,151.45,1054.9,1.72,2513.9,-3.84,-1
2015-12-11,29850,1177.5,35.62,36.63,36.84,35.16,-3.1,1.5,0.25,-1.25,78.93,660.78,-1.99,449.8,8.26,-1
2016-01-05,30600,1184.3,35.97,36.9,37.1,35.74,-2.15,1.5,0.5,-1.0,78.93,649.47,-1.04,431.2,-0.49,1
2017-08-08,66300,1127.3,49.17,49.31,49.79,48.86,-0.45,1.25,1.25,0.0,168.2,1093.77,-0.41,3429.4,0.81,1
2019-03-14,67300,1131.5,58.61,58.35,58.74,58.0,0.6,1.75,2.5,0.75,164.28,1353.06,-0.57,3879.0,0.36,1
2018-12-10,65500,1118.2,51.0,52.03,52.81,50.53,-3.06,1.75,2.25,0.5,145.08,1174.19,1.41,3460.5,-3.0,-1
2010-09-20,22100,1163.1,74.86,73.59,75.45,73.32,1.63,2.25,0.25,-2.0,91.77,336.12,0.53,0.1,0.0,-1
2011-12-28,21150,1156.4,99.36,101.25,101.71,99.11,-1.95,3.25,0.25,-3.0,72.25,362.59,-1.47,4.2,2.95,1
2014-05-22,42400,1026.7,103.74,103.85,104.22,103.55,-0.32,2.5,0.25,-2.25,97.72,584.3,0.43,515.4,5.43,1
2015-06-26,42000,1109.6,59.63,59.66,59.96,58.76,-0.12,1.75,0.25,-1.5,100.95,698.36,-2.44,242.9,0.16,-1
2016-10-11,41300,1111.0,50.79,51.1,51.54,50.39,-1.09,1.25,0.5,-0.75,107.3,815.31,-2.11,640.5,3.75,0
2019-02-20,75700,1127.5,56.92,55.94,57.55,55.48,1.48,1.75,2.5,0.75,132.76,1360.28,0.87,3972.4,1.48,1
2019-03-22,76100,1125.8,59.04,59.87,60.07,58.28,-1.57,1.75,2.5,0.75,164.28,1400.37,-2.88,3990.4,0.21,1
2015-03-13,44100,1130.9,44.84,46.93,47.28,44.75,-4.7,2.0,0.25,-1.75,102.6,707.79,0.71,287.2,-2.26,1
2018-01-15,72700,1064.7,64.73,64.28,64.89,64.11,0.7,1.5,1.5,0.0,185.53,1324.035,0.44,13697.5,0.02,-1
2017-10-25,81700,1128.3,52.18,52.56,52.57,51.89,-0.55,1.25,1.25,0.0,182.32,1229.27,-1.29,5734.0,4.01,-1
2014-05-07,41100,1031.2,100.77,99.83,100.99,99.78,1.28,2.5,0.25,-2.25,97.72,573.99,0.09,446.5,3.32,1
2012-11-01,25500,1090.6,87.09,86.1,87.42,85.92,0.99,2.75,0.25,-2.5,87.23,379.5,3.4,10.6,-5.63,1
2012-08-03,20950,1130.4,91.4,87.26,91.74,87.23,4.9,3.0,0.25,-2.75,77.17,390.1,2.26,11.0,4.18,-1
2015-10-14,36400,1147.5,46.64,46.69,46.96,45.94,-0.04,1.5,0.25,-1.25,99.06,645.7,3.76,252.3,1.43,1
2016-06-09,29000,1156.5,50.56,51.45,51.67,50.23,-1.31,1.5,0.5,-1.0,100.66,710.92,0.1,574.7,-1.0,1
2012-01-17,25550,1154.0,100.71,98.95,101.01,98.6,2.04,3.25,0.25,-3.0,72.25,385.22,0.46,5.6,-16.17,1
2017-03-08,48000,1151.2,50.28,52.79,52.92,50.05,-5.38,1.25,0.75,-0.5,143.26,979.0,0.22,1147.0,-6.95,-1
2013-06-19,31900,1129.9,98.24,98.59,99.01,97.57,-0.2,2.5,0.25,-2.25,91.17,474.51,-1.16,108.3,0.84,1
2013-12-26,36000,1060.4,99.55,99.2,99.7,99.05,0.33,2.5,0.25,-2.25,84.98,529.83,0.28,802.0,13.39,-1
