,년도,종목코드,종목명,EPS,DPS,배당수익률,배당금총액
,기준,660,sk하이닉스,기준,기준,기준,기준
1,2020,660,sk하이닉스,6952,1170,1,8.00282E+11
2,2019,660,sk하이닉스,2943,1000,1.1,6.84002E+11
3,2018,660,sk하이닉스,22255,1500,2.5,1.026E+12
4,2017,660,sk하이닉스,15073,1000,1.3,7.06002E+11
5,2016,660,sk하이닉스,4184,600,1.3,4.23601E+11
6,2015,660,sk하이닉스,,300,,
7,2014,660,sk하이닉스,,,,
8,2013,660,sk하이닉스,,,,
9,2012,660,sk하이닉스,,,,
10,2011,660,sk하이닉스,,,,
11,2010,660,sk하이닉스,,150,,
12,2009,660,sk하이닉스,,,,
13,2008,660,sk하이닉스,,,,
14,2007,660,sk하이닉스,,,,
15,2006,660,sk하이닉스,,,,
16,2005,660,sk하이닉스,,,,
17,2004,660,sk하이닉스,,,,
18,2003,660,sk하이닉스,,,,
19,2002,660,sk하이닉스,,,,
20,2001,660,sk하이닉스,,,,
21,2000,660,sk하이닉스,,,,
22,1999,660,sk하이닉스,,,,
