일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2000-01-04,305500,39500,14.85,300000,305500,283000,1483967,4.44233E+11,4.57757E+13,149838777
2000-01-05,279000,-26500,-8.67,290000,303000,276000,1493604,4.33783E+11,4.1805E+13,149838777
2000-01-06,281000,2000,0.72,287500,289000,279000,1087810,3.08005E+11,4.21047E+13,149838777
2000-01-07,277000,-4000,-1.42,278000,283500,268000,806195,2.22718E+11,4.15053E+13,149838777
2000-01-10,288500,11500,4.15,280000,288500,279000,937615,2.65754E+11,4.32285E+13,149838777
2000-01-11,288500,0,0,291000,305000,288500,1194974,3.55643E+11,4.32285E+13,149838777
2000-01-12,286000,-2500,-0.87,280500,287000,280000,584492,1.65911E+11,4.28539E+13,149838777
2000-01-13,285500,-500,-0.17,280000,287000,278000,823830,2.32595E+11,4.2779E+13,149838777
2000-01-14,291500,6000,2.1,286000,294000,284000,987576,2.86307E+11,4.3678E+13,149838777
2000-01-17,305000,13500,4.63,300000,309000,296000,1270138,3.84516E+11,4.57008E+13,149838777
2000-01-18,305000,0,0,308000,308000,299000,905231,2.74619E+11,4.57889E+13,150127665
2000-01-19,298000,-7000,-2.3,300000,302000,298000,804159,2.40922E+11,4.4738E+13,150127665
2000-01-20,302000,4000,1.34,293000,302000,291000,746360,2.20706E+11,4.53386E+13,150127665
2000-01-21,294000,-8000,-2.65,297500,299000,294000,650728,1.92645E+11,4.41375E+13,150127665
2000-01-24,285000,-9000,-3.06,290000,295000,285000,687183,1.99481E+11,4.27864E+13,150127665
2000-01-25,272000,-13000,-4.56,276000,282000,272000,885067,2.44838E+11,4.08347E+13,150127665
2000-01-26,274000,2000,0.74,275000,276000,270500,585734,1.60194E+11,4.1135E+13,150127665
2000-01-27,276000,2000,0.73,274000,281000,271500,558083,1.54449E+11,4.14352E+13,150127665
2000-01-28,291000,15000,5.43,282000,294000,277000,766398,2.18028E+11,4.36872E+13,150127665
2000-01-31,279000,-12000,-4.12,282000,286500,278000,792689,2.23324E+11,4.18856E+13,150127665
2000-02-01,266000,-13000,-4.66,280000,284000,263000,1429402,3.86258E+11,3.9934E+13,150127665
2000-02-02,262500,-3500,-1.32,261000,268500,255500,1282143,3.35283E+11,3.94085E+13,150127665
2000-02-03,256500,-6000,-2.29,262500,273000,248500,2855355,7.37977E+11,3.85077E+13,150127665
2000-02-07,262000,5500,2.14,257000,266500,252000,1282835,3.34236E+11,3.93334E+13,150127665
2000-02-08,271500,9500,3.63,267000,274000,265500,1169244,3.1593E+11,4.07887E+13,150234691
2000-02-09,286000,14500,5.34,278000,286000,274000,1021023,2.86112E+11,4.29671E+13,150234691
2000-02-10,288000,2000,0.7,283000,294000,280000,1236979,3.54769E+11,4.32676E+13,150234691
2000-02-11,285000,-3000,-1.04,298000,298000,284000,693257,2.00367E+11,4.28169E+13,150234691
2000-02-14,269000,-16000,-5.61,280000,283000,267000,882889,2.41543E+11,4.04131E+13,150234691
2000-02-15,260000,-9000,-3.35,269000,271000,257000,766393,1.99765E+11,3.9061E+13,150234691
2000-02-16,250000,-10000,-3.85,259000,260000,239000,1462389,3.64472E+11,3.75587E+13,150234691
2000-02-17,254000,4000,1.6,247000,255000,245500,1303738,3.27533E+11,3.81596E+13,150234691
2000-02-18,265000,11000,4.33,268500,281500,258000,2175083,5.91141E+11,3.98122E+13,150234691
2000-02-21,253500,-11500,-4.34,260000,263000,251500,529722,1.35656E+11,3.80845E+13,150234691
2000-02-22,256000,2500,0.99,250000,262000,250000,483669,1.23582E+11,3.84601E+13,150234691
2000-02-23,257000,1000,0.39,261000,263000,255000,554497,1.42798E+11,3.86103E+13,150234691
2000-02-24,253500,-3500,-1.36,256000,262000,253000,521526,1.33765E+11,3.80845E+13,150234691
2000-02-25,256000,2500,0.99,254000,257500,249000,557527,1.40659E+11,3.84601E+13,150234691
2000-02-28,240000,-16000,-6.25,250000,252500,240000,602864,1.49495E+11,3.60563E+13,150234691
2000-02-29,256000,16000,6.67,245000,257000,242000,1036420,2.60007E+11,3.84601E+13,150234691
2000-03-02,294000,38000,14.84,294000,294000,276000,2355092,6.88265E+11,4.4169E+13,150234691
2000-03-03,300000,6000,2.04,310000,312500,294000,2819891,8.56888E+11,4.50929E+13,150309664
2000-03-06,282000,-18000,-6,300000,302500,280000,783020,2.27062E+11,4.23873E+13,150309664
2000-03-07,281000,-1000,-0.35,280000,282000,274000,601414,1.67698E+11,4.2237E+13,150309664
2000-03-08,296000,15000,5.34,276000,300000,275000,649288,1.86908E+11,4.44917E+13,150309664
2000-03-09,281000,-15000,-5.07,298500,299000,281000,1117890,3.2075E+11,4.2237E+13,150309664
2000-03-10,277000,-4000,-1.42,289500,290000,276000,572199,1.60667E+11,4.16358E+13,150309664
2000-03-13,259000,-18000,-6.5,274000,274500,258000,644358,1.68978E+11,3.89302E+13,150309664
2000-03-14,260500,1500,0.58,258500,269000,258000,601241,1.57686E+11,3.91557E+13,150309664
2000-03-15,270000,9500,3.65,260000,270000,256000,922141,2.42885E+11,4.05836E+13,150309664
2000-03-16,270000,0,0,274000,276000,268000,575981,1.5663E+11,4.05836E+13,150309664
2000-03-17,274000,4000,1.48,277000,278000,270000,481685,1.32249E+11,4.11848E+13,150309664
2000-03-20,283000,9000,3.28,280000,285500,276500,527321,1.485E+11,4.25376E+13,150309664
2000-03-21,294000,11000,3.89,285000,297000,280500,898587,2.62293E+11,4.4191E+13,150309664
2000-03-22,310000,16000,5.44,298000,315000,294000,1739537,5.36035E+11,4.6596E+13,150309664
2000-03-23,310000,0,0,324000,329000,310000,1299012,4.15E+11,4.6596E+13,150309664
2000-03-24,340000,30000,9.68,316000,356000,309000,1805280,5.96754E+11,5.11053E+13,150309664
2000-03-27,340000,0,0,348000,352000,335000,1354691,4.64607E+11,5.11053E+13,150309664
2000-03-28,351500,11500,3.38,345000,363000,341000,1488500,5.25112E+11,5.28338E+13,150309664
2000-03-29,383000,31500,8.96,351500,384000,349000,1561874,5.74781E+11,5.75686E+13,150309664
2000-03-30,352500,-30500,-7.96,376000,378000,352500,1492996,5.43872E+11,5.29842E+13,150309664
2000-03-31,335000,-17500,-4.96,340000,353500,332500,1277121,4.375E+11,5.03537E+13,150309664
2000-04-03,355000,20000,5.97,346000,366000,343000,1136142,4.04091E+11,5.33599E+13,150309664
2000-04-04,340000,-15000,-4.23,350000,364500,333000,1166838,4.00956E+11,5.11053E+13,150309664
2000-04-06,334000,-6000,-1.76,343000,348000,334000,944729,3.21846E+11,5.02433E+13,150429134
2000-04-07,360000,26000,7.78,343000,363000,339000,847198,2.98386E+11,5.41545E+13,150429134
