날짜,반도체수출금액지수
2000-01-31,34.27
2000-02-29,32
2000-03-31,35.29
2000-04-30,35.65
2000-05-31,40.85
2000-06-30,44.69
2000-07-31,45.11
2000-08-31,48.87
2000-09-30,49.54
2000-10-31,44.18
2000-11-30,40.18
2000-12-31,36.61
2001-01-31,33.43
2001-02-28,29.1
2001-03-31,28.46
2001-04-30,23.5
2001-05-31,23.29
2001-06-30,21.71
2001-07-31,16.14
2001-08-31,16.64
2001-09-30,18.54
2001-10-31,17.89
2001-11-30,19.91
2001-12-31,17.03
2002-01-31,21.5
2002-02-28,21.44
2002-03-31,26.83
2002-04-30,25.84
2002-05-31,25.11
2002-06-30,25.23
2002-07-31,26.61
2002-08-31,27.74
2002-09-30,26.03
2002-10-31,29.89
2002-11-30,30.78
2002-12-31,27.67
2003-01-31,30.57
2003-02-28,22.05
2003-03-31,25.35
2003-04-30,26
2003-05-31,26.6
2003-06-30,27.79
2003-07-31,30.97
2003-08-31,33.53
2003-09-30,36.17
2003-10-31,39.82
2003-11-30,38.3
2003-12-31,38.26
2004-01-31,35.78
2004-02-29,36.87
2004-03-31,41.52
2004-04-30,43.23
2004-05-31,44.62
2004-06-30,42.9
2004-07-31,41.63
2004-08-31,42.67
2004-09-30,42.34
2004-10-31,45.8
2004-11-30,44.9
2004-12-31,39.58
2005-01-31,45.21
2005-02-28,42.32
2005-03-31,47.75
2005-04-30,45.4
2005-05-31,47.02
2005-06-30,47.88
2005-07-31,49.66
2005-08-31,49.37
2005-09-30,48.99
2005-10-31,49.74
2005-11-30,47.85
2005-12-31,45.16
2006-01-31,45.26
2006-02-28,43.2
2006-03-31,48.74
2006-04-30,47.29
2006-05-31,50
2006-06-30,48.78
2006-07-31,49.71
2006-08-31,53.08
2006-09-30,56.51
2006-10-31,58.08
2006-11-30,65.26
2006-12-31,63.45
2007-01-31,69.29
2007-02-28,59.7
2007-03-31,61.95
2007-04-30,55.01
2007-05-31,55.87
2007-06-30,61.52
2007-07-31,65.65
2007-08-31,68.42
2007-09-30,62.89
2007-10-31,64.95
2007-11-30,67.11
2007-12-31,59.02
2008-01-31,55.14
2008-02-29,50.64
2008-03-31,57.48
2008-04-30,55.09
2008-05-31,59.64
2008-06-30,62.53
2008-07-31,61.06
2008-08-31,59.42
2008-09-30,56.43
2008-10-31,47.7
2008-11-30,37.08
2008-12-31,28.73
2009-01-31,28.86
2009-02-28,29.63
2009-03-31,35.17
2009-04-30,41.27
2009-05-31,46.82
2009-06-30,48.62
2009-07-31,51.86
2009-08-31,55.29
2009-09-30,61.99
2009-10-31,68.46
2009-11-30,66.44
2009-12-31,66.99
2010-01-31,64.04
2010-02-28,64.9
2010-03-31,77.95
2010-04-30,80.38
2010-05-31,84.22
2010-06-30,84.42
2010-07-31,88.15
2010-08-31,90.74
2010-09-30,91.77
2010-10-31,87.48
2010-11-30,80.1
2010-12-31,81.67
2011-01-31,79.06
2011-02-28,70.04
2011-03-31,85.64
2011-04-30,79.59
2011-05-31,80
2011-06-30,80.36
2011-07-31,75.63
2011-08-31,78.94
2011-09-30,88.13
2011-10-31,84.42
2011-11-30,79.13
2011-12-31,81.93
2012-01-31,72.25
2012-02-29,73.73
2012-03-31,82.2
2012-04-30,72.52
2012-05-31,80.23
2012-06-30,82.24
2012-07-31,74.69
2012-08-31,77.17
2012-09-30,84.32
2012-10-31,88.11
2012-11-30,87.23
2012-12-31,81.82
2013-01-31,76.2
2013-02-28,73.77
2013-03-31,86.82
2013-04-30,81.75
2013-05-31,93.42
2013-06-30,88.18
2013-07-31,91.17
2013-08-31,94.86
2013-09-30,102.85
2013-10-31,101.29
2013-11-30,94.47
2013-12-31,98.55
2014-01-31,88.09
2014-02-28,84.98
2014-03-31,99.53
2014-04-30,91.69
2014-05-31,93.12
2014-06-30,97.72
2014-07-31,92.01
2014-08-31,99.67
2014-09-30,111.07
2014-10-31,113.63
2014-11-30,110.28
2014-12-31,110.66
2015-01-31,100.43
2015-02-28,90.55
2015-03-31,102.6
2015-04-30,98.49
2015-05-31,97.34
2015-06-30,100.95
2015-07-31,97.82
2015-08-31,104.28
2015-09-30,111.77
2015-10-31,105.41
2015-11-30,99.06
2015-12-31,91.31
2016-01-31,86.19
2016-02-29,78.93
2016-03-31,100.61
2016-04-30,86.95
2016-05-31,93.22
2016-06-30,100.66
2016-07-31,96.49
2016-08-31,107.01
2016-09-30,109.03
2016-10-31,107.3
2016-11-30,110.76
2016-12-31,111.43
2017-01-31,121.57
2017-02-28,123.05
2017-03-31,143.26
2017-04-30,136.52
2017-05-31,144.04
2017-06-30,154.33
2017-07-31,151.45
2017-08-31,168.2
2017-09-30,186.31
2017-10-31,182.32
2017-11-30,183.87
2017-12-31,186.44
2018-01-31,185.53
2018-02-28,171.62
2018-03-31,207.76
2018-04-30,187.7
2018-05-31,207.97
2018-06-30,214.94
2018-07-31,197.78
2018-08-31,218.72
2018-09-30,244.59
2018-10-31,227.06
2018-11-30,207.66
2018-12-31,171.67
2019-01-31,145.08
2019-02-28,132.76
2019-03-31,175.52
2019-04-30,164.28
2019-05-31,148.47
2019-06-30,165.49
2019-07-31,149.27
2019-08-31,159.18
2019-09-30,170.23
2019-10-31,161.06
2019-11-30,152.27
2019-12-31,150.82
2020-01-31,149.88
2020-02-29,156.34
2020-03-31,182.42
2020-04-30,151.54
2020-05-31,170.59
2020-06-30,173.6
2020-07-31,164.17
2020-08-31,173.84
2020-09-30,196.29
2020-10-31,175.65
2020-11-30,174.85
2020-12-31,192.79
2021-01-31,177.56
2021-02-28,171.96
2021-03-31,195.37
2021-04-30,200.03
2021-05-14,
