날짜,반도체수출금액지수,한국은행기준금리
2000-01-04,,4.75 
2000-01-31,34.27,4.75 
2000-02-29,32,5.00 
2000-03-31,35.29,5.00 
2000-04-30,35.65,5.00 
2000-05-31,40.85,5.00 
2000-06-30,44.69,5.00 
2000-07-31,45.11,5.00 
2000-08-31,48.87,5.00 
2000-09-30,49.54,5.00 
2000-10-31,44.18,5.25 
2000-11-30,40.18,5.25 
2000-12-31,36.61,5.25 
2001-01-31,33.43,5.25 
2001-02-28,29.1,5.00 
2001-03-31,28.46,5.00 
2001-04-30,23.5,5.00 
2001-05-31,23.29,5.00 
2001-06-30,21.71,5.00 
2001-07-31,16.14,4.75 
2001-08-31,16.64,4.50 
2001-09-30,18.54,4.00 
2001-10-31,17.89,4.00 
2001-11-30,19.91,4.00 
2001-12-31,17.03,4.00 
2002-01-31,21.5,4.00 
2002-02-28,21.44,4.00 
2002-03-31,26.83,4.00 
2002-04-30,25.84,4.00 
2002-05-31,25.11,4.25 
2002-06-30,25.23,4.25 
2002-07-31,26.61,4.25 
2002-08-31,27.74,4.25 
2002-09-30,26.03,4.25 
2002-10-31,29.89,4.25 
2002-11-30,30.78,4.25 
2002-12-31,27.67,4.25 
2003-01-31,30.57,4.25 
2003-02-28,22.05,4.25 
2003-03-31,25.35,4.25 
2003-04-30,26,4.25 
2003-05-31,26.6,4.00 
2003-06-30,27.79,4.00 
2003-07-31,30.97,3.75 
2003-08-31,33.53,3.75 
2003-09-30,36.17,3.75 
2003-10-31,39.82,3.75 
2003-11-30,38.3,3.75 
2003-12-31,38.26,3.75 
2004-01-31,35.78,3.75 
2004-02-29,36.87,3.75 
2004-03-31,41.52,3.75 
2004-04-30,43.23,3.75 
2004-05-31,44.62,3.75 
2004-06-30,42.9,3.75 
2004-07-31,41.63,3.75 
2004-08-31,42.67,3.50 
2004-09-30,42.34,3.50 
2004-10-31,45.8,3.50 
2004-11-30,44.9,3.25 
2004-12-31,39.58,3.25 
2005-01-31,45.21,3.25 
2005-02-28,42.32,3.25 
2005-03-31,47.75,3.25 
2005-04-30,45.4,3.25 
2005-05-31,47.02,3.25 
2005-06-30,47.88,3.25 
2005-07-31,49.66,3.25 
2005-08-31,49.37,3.25 
2005-09-30,48.99,3.25 
2005-10-31,49.74,3.50 
2005-11-30,47.85,3.50 
2005-12-31,45.16,3.75 
2006-01-31,45.26,3.75 
2006-02-28,43.2,4.00 
2006-03-31,48.74,4.00 
2006-04-30,47.29,4.00 
2006-05-31,50,4.00 
2006-06-30,48.78,4.25 
2006-07-31,49.71,4.25 
2006-08-31,53.08,4.50 
2006-09-30,56.51,4.50 
2006-10-31,58.08,4.50 
2006-11-30,65.26,4.50 
2006-12-31,63.45,4.50 
2007-01-31,69.29,4.50 
2007-02-28,59.7,4.50 
2007-03-31,61.95,4.50 
2007-04-30,55.01,4.50 
2007-05-31,55.87,4.50 
2007-06-30,61.52,4.50 
2007-07-31,65.65,4.75 
2007-08-31,68.42,5.00 
2007-09-30,62.89,5.00 
2007-10-31,64.95,5.00 
2007-11-30,67.11,5.00 
2007-12-31,59.02,5.00 
2008-01-31,55.14,5.00 
2008-02-29,50.64,5.00 
2008-03-31,57.48,5.00 
2008-04-30,55.09,5.00 
2008-05-31,59.64,5.00 
2008-06-30,62.53,5.00 
2008-07-31,61.06,5.00 
2008-08-31,59.42,5.25 
2008-09-30,56.43,5.25 
2008-10-31,47.7,4.25 
2008-11-30,37.08,4.00 
2008-12-31,28.73,3.00 
2009-01-31,28.86,2.50 
2009-02-28,29.63,2.00 
2009-03-31,35.17,2.00 
2009-04-30,41.27,2.00 
2009-05-31,46.82,2.00 
2009-06-30,48.62,2.00 
2009-07-31,51.86,2.00 
2009-08-31,55.29,2.00 
2009-09-30,61.99,2.00 
2009-10-31,68.46,2.00 
2009-11-30,66.44,2.00 
2009-12-31,66.99,2.00 
2010-01-31,64.04,2.00 
2010-02-28,64.9,2.00 
2010-03-31,77.95,2.00 
2010-04-30,80.38,2.00 
2010-05-31,84.22,2.00 
2010-06-30,84.42,2.00 
2010-07-31,88.15,2.25 
2010-08-31,90.74,2.25 
2010-09-30,91.77,2.25 
2010-10-31,87.48,2.25 
2010-11-30,80.1,2.50 
2010-12-31,81.67,2.50 
2011-01-31,79.06,2.75 
2011-02-28,70.04,2.75 
2011-03-31,85.64,3.00 
2011-04-30,79.59,3.00 
2011-05-31,80,3.00 
2011-06-30,80.36,3.25 
2011-07-31,75.63,3.25 
2011-08-31,78.94,3.25 
2011-09-30,88.13,3.25 
2011-10-31,84.42,3.25 
2011-11-30,79.13,3.25 
2011-12-31,81.93,3.25 
2012-01-31,72.25,3.25 
2012-02-29,73.73,3.25 
2012-03-31,82.2,3.25 
2012-04-30,72.52,3.25 
2012-05-31,80.23,3.25 
2012-06-30,82.24,3.25 
2012-07-31,74.69,3.00 
2012-08-31,77.17,3.00 
2012-09-30,84.32,3.00 
2012-10-31,88.11,2.75 
2012-11-30,87.23,2.75 
2012-12-31,81.82,2.75 
2013-01-31,76.2,2.75 
2013-02-28,73.77,2.75 
2013-03-31,86.82,2.75 
2013-04-30,81.75,2.75 
2013-05-31,93.42,2.50 
2013-06-30,88.18,2.50 
2013-07-31,91.17,2.50 
2013-08-31,94.86,2.50 
2013-09-30,102.85,2.50 
2013-10-31,101.29,2.50 
2013-11-30,94.47,2.50 
2013-12-31,98.55,2.50 
2014-01-31,88.09,2.50 
2014-02-28,84.98,2.50 
2014-03-31,99.53,2.50 
2014-04-30,91.69,2.50 
2014-05-31,93.12,2.50 
2014-06-30,97.72,2.50 
2014-07-31,92.01,2.50 
2014-08-31,99.67,2.25 
2014-09-30,111.07,2.25 
2014-10-31,113.63,2.00 
2014-11-30,110.28,2.00 
2014-12-31,110.66,2.00 
2015-01-31,100.43,2.00 
2015-02-28,90.55,2.00 
2015-03-31,102.6,1.75 
2015-04-30,98.49,1.75 
2015-05-31,97.34,1.75 
2015-06-30,100.95,1.50 
2015-07-31,97.82,1.50 
2015-08-31,104.28,1.50 
2015-09-30,111.77,1.50 
2015-10-31,105.41,1.50 
2015-11-30,99.06,1.50 
2015-12-31,91.31,1.50 
2016-01-31,86.19,1.50 
2016-02-29,78.93,1.50 
2016-03-31,100.61,1.50 
2016-04-30,86.95,1.50 
2016-05-31,93.22,1.50 
2016-06-30,100.66,1.25 
2016-07-31,96.49,1.25 
2016-08-31,107.01,1.25 
2016-09-30,109.03,1.25 
2016-10-31,107.3,1.25 
2016-11-30,110.76,1.25 
2016-12-31,111.43,1.25 
2017-01-31,121.57,1.25 
2017-02-28,123.05,1.25 
2017-03-31,143.26,1.25 
2017-04-30,136.52,1.25 
2017-05-31,144.04,1.25 
2017-06-30,154.33,1.25 
2017-07-31,151.45,1.25 
2017-08-31,168.2,1.25 
2017-09-30,186.31,1.25 
2017-10-31,182.32,1.25 
2017-11-30,183.87,1.50 
2017-12-31,186.44,1.50 
2018-01-31,185.53,1.50 
2018-02-28,171.62,1.50 
2018-03-31,207.76,1.50 
2018-04-30,187.7,1.50 
2018-05-31,207.97,1.50 
2018-06-30,214.94,1.50 
2018-07-31,197.78,1.50 
2018-08-31,218.72,1.50 
2018-09-30,244.59,1.50 
2018-10-31,227.06,1.50 
2018-11-30,207.66,1.75 
2018-12-31,171.67,1.75 
2019-01-31,145.08,1.75 
2019-02-28,132.76,1.75 
2019-03-31,175.52,1.75 
2019-04-30,164.28,1.75 
2019-05-31,148.47,1.75 
2019-06-30,165.49,1.75 
2019-07-31,149.27,1.50 
2019-08-31,159.18,1.50 
2019-09-30,170.23,1.50 
2019-10-31,161.06,1.25 
2019-11-30,152.27,1.25 
2019-12-31,150.82,1.25 
2020-01-31,149.88,1.25 
2020-02-29,156.34,1.25 
2020-03-31,182.42,0.75 
2020-04-30,151.54,0.75 
2020-05-31,170.59,0.50 
2020-06-30,173.6,0.50 
2020-07-31,164.17,0.50 
2020-08-31,173.84,0.50 
2020-09-30,196.29,0.50 
2020-10-31,175.65,0.50 
2020-11-30,174.85,0.50 
2020-12-31,192.79,0.50 
2021-01-31,177.56,0.50 
2021-02-28,171.96,0.50 
2021-03-31,195.37,0.50 
2021-04-30,,0.50 
2021-05-14,,0.50 
