통계표,"17.거시경제분석 지표"
항목명1,"  경제성장률"
단위,"% "
변환,"원자료"
1996/01,""
1996/02,"1.9"
1996/03,""
1996/04,""
1996/05,"2.0"
1996/06,""
1996/07,""
1996/08,"1.8"
1996/09,""
1996/10,""
1996/11,"1.7"
1996/12,""
1997/01,""
1997/02,"0.5"
1997/03,""
1997/04,""
1997/05,"3.6"
1997/06,""
1997/07,""
1997/08,"0.8"
1997/09,""
1997/10,""
1997/11,"-0.5"
1997/12,""
1998/01,""
1998/02,"-6.8"
1998/03,""
1998/04,""
1998/05,"-0.8"
1998/06,""
1998/07,""
1998/08,"1.7"
1998/09,""
1998/10,""
1998/11,"2.5"
1998/12,""
1999/01,""
1999/02,"3.0"
1999/03,""
1999/04,""
1999/05,"4.4"
1999/06,""
1999/07,""
1999/08,"2.8"
1999/09,""
1999/10,""
1999/11,"2.9"
1999/12,""
2000/01,""
2000/02,"1.9"
2000/03,""
2000/04,""
2000/05,"1.3"
2000/06,""
2000/07,""
2000/08,"2.8"
2000/09,""
2000/10,""
2000/11,"-0.3"
2000/12,""
2001/01,""
2001/02,"1.2"
2001/03,""
2001/04,""
2001/05,"1.3"
2001/06,""
2001/07,""
2001/08,"1.4"
2001/09,""
2001/10,""
2001/11,"1.8"
2001/12,""
2002/01,""
2002/02,"2.5"
2002/03,""
2002/04,""
2002/05,"1.8"
2002/06,""
2002/07,""
2002/08,"2.0"
2002/09,""
2002/10,""
2002/11,"1.1"
2002/12,""
2003/01,""
2003/02,"-0.7"
2003/03,""
2003/04,""
2003/05,"-0.2"
2003/06,""
2003/07,""
2003/08,"1.9"
2003/09,""
2003/10,""
2003/11,"2.6"
2003/12,""
2004/01,""
2004/02,"1.3"
2004/03,""
2004/04,""
2004/05,"0.8"
2004/06,""
2004/07,""
2004/08,"0.4"
2004/09,""
2004/10,""
2004/11,"0.8"
2004/12,""
2005/01,""
2005/02,"0.9"
2005/03,""
2005/04,""
2005/05,"1.9"
2005/06,""
2005/07,""
2005/08,"1.5"
2005/09,""
2005/10,""
2005/11,"1.0"
2005/12,""
2006/01,""
2006/02,"1.6"
2006/03,""
2006/04,""
2006/05,"0.7"
2006/06,""
2006/07,""
2006/08,"1.6"
2006/09,""
2006/10,""
2006/11,"0.8"
2006/12,""
2007/01,""
2007/02,"1.7"
2007/03,""
2007/04,""
2007/05,"1.7"
2007/06,""
2007/07,""
2007/08,"1.2"
2007/09,""
2007/10,""
2007/11,"2.2"
2007/12,""
2008/01,""
2008/02,"0.4"
2008/03,""
2008/04,""
2008/05,"0.5"
2008/06,""
2008/07,""
2008/08,"0.8"
2008/09,""
2008/10,""
2008/11,"-3.3"
2008/12,""
2009/01,""
2009/02,"0.1"
2009/03,""
2009/04,""
2009/05,"1.3"
2009/06,""
2009/07,""
2009/08,"3.0"
2009/09,""
2009/10,""
2009/11,"0.7"
2009/12,""
2010/01,""
2010/02,"2.0"
2010/03,""
2010/04,""
2010/05,"1.9"
2010/06,""
2010/07,""
2010/08,"1.2"
2010/09,""
2010/10,""
2010/11,"1.2"
2010/12,""
2011/01,""
2011/02,"0.9"
2011/03,""
2011/04,""
2011/05,"0.5"
2011/06,""
2011/07,""
2011/08,"0.5"
2011/09,""
2011/10,""
2011/11,"0.5"
2011/12,""
2012/01,""
2012/02,"0.9"
2012/03,""
2012/04,""
2012/05,"0.6"
2012/06,""
2012/07,""
2012/08,"0.4"
2012/09,""
2012/10,""
2012/11,"0.5"
2012/12,""
2013/01,""
2013/02,"0.9"
2013/03,""
2013/04,""
2013/05,"1.2"
2013/06,""
2013/07,""
2013/08,"0.9"
2013/09,""
2013/10,""
2013/11,"0.8"
2013/12,""
2014/01,""
2014/02,"1.0"
2014/03,""
2014/04,""
2014/05,"0.9"
2014/06,""
2014/07,""
2014/08,"0.3"
2014/09,""
2014/10,""
2014/11,"0.4"
2014/12,""
2015/01,""
2015/02,"0.9"
2015/03,""
2015/04,""
2015/05,"0.4"
2015/06,""
2015/07,""
2015/08,"1.5"
2015/09,""
2015/10,""
2015/11,"0.7"
2015/12,""
2016/01,""
2016/02,"0.3"
2016/03,""
2016/04,""
2016/05,"1.1"
2016/06,""
2016/07,""
2016/08,"0.4"
2016/09,""
2016/10,""
2016/11,"0.8"
2016/12,""
2017/01,""
2017/02,"0.8"
2017/03,""
2017/04,""
2017/05,"0.7"
2017/06,""
2017/07,""
2017/08,"1.5"
2017/09,""
2017/10,""
2017/11,"-0.1"
2017/12,""
2018/01,""
2018/02,"1.1"
2018/03,""
2018/04,""
2018/05,"0.6"
2018/06,""
2018/07,""
2018/08,"0.6"
2018/09,""
2018/10,""
2018/11,"0.9"
2018/12,""
2019/01,""
2019/02,"-0.3"
2019/03,""
2019/04,""
2019/05,"1.0"
2019/06,""
2019/07,""
2019/08,"0.4"
2019/09,""
2019/10,""
2019/11,"1.3"
2019/12,""
2020/01,""
2020/02,"-1.3"
2020/03,""
2020/04,""
2020/05,"-3.2"
2020/06,""
2020/07,""
2020/08,"2.1"
2020/09,""
2020/10,""
2020/11,"1.2"
2020/12,""
2021/01,""
2021/02,""
2021/03,""
   17.거시경제분석 지표
통계담당 : 
주 : 증감률·등락률은 전년동기대비임(단, 경제성장률, 민간소비증감률, 설비투자증감률, 건설투자증감률은 전기대비임).
2, 5, 8, 11월에만 표기된 수치는 해당월이 속한 분기의 수치임
경제성장률 : 한국은행 경제통계국 국민소득총괄팀(02-759-4383)

