,수출물가,- 농림수산품,- 공업제품,수입물가,- 원자재,- 중간재,- 최종재
199201월,3.5,21.4,3.0,-5.3,-7.3,2.3,1.3
199202월,2.9,21.7,2.5,-3.6,-5.1,2.9,0.1
199203월,2.5,22.8,2.0,-0.8,-1.5,2.4,0.1
199204월,2.9,19.3,2.5,0.3,-0.3,2.6,0.3
199205월,2.8,20.4,2.4,1.7,1.5,3.0,-0.1
199206월,3.1,18.4,2.7,3.7,4.1,3.1,-0.7
199207월,3.0,16.9,2.7,5.7,6.4,3.1,1.7
199208월,3.4,15.0,3.1,5.6,6.3,3.1,2.1
199209월,2.8,11.2,2.6,4.6,5.1,3.1,2.1
199210월,2.2,6.4,2.1,3.5,3.5,3.8,0.8
199211월,1.7,5.6,1.6,2.1,1.8,4.5,-0.3
199212월,1.6,9.2,1.3,1.4,0.9,3.6,0.4
199301월,1.6,13.2,1.3,2.8,2.7,3.0,0.4
199302월,2.1,15.0,1.6,3.1,3.1,2.9,1.8
199303월,1.9,16.3,1.4,5.8,6.6,3.6,1.6
199304월,1.8,20.8,1.2,5.6,6.3,3.6,0.2
199305월,2.4,20.8,1.8,5.4,5.7,4.6,1.6
199306월,2.6,23.2,1.9,4.5,4.5,4.8,1.2
199307월,2.9,20.3,2.3,3.0,2.5,5.1,1.5
199308월,2.9,17.0,2.4,2.6,1.9,5.4,3.0
199309월,2.7,11.4,2.3,2.5,1.8,5.4,3.3
199310월,3.2,15.6,2.7,2.9,2.4,4.6,4.0
199311월,2.9,14.2,2.4,2.4,1.9,4.2,3.3
199312월,2.7,8.7,2.5,2.0,1.5,4.1,3.2
199401월,2.3,4.7,2.2,1.0,0.3,3.9,4.1
199402월,2.0,5.9,1.9,2.0,1.7,3.4,2.9
199403월,2.7,9.6,2.5,0.5,-0.3,3.1,5.4
199404월,3.3,13.8,3.0,0.2,-0.7,3.1,5.9
199405월,3.2,12.9,2.9,0.8,0.3,2.0,5.0
199406월,2.4,8.1,2.3,1.5,1.5,1.6,1.3
199407월,2.7,12.4,2.4,3.8,4.4,1.5,1.8
199408월,2.4,17.4,1.9,5.6,6.8,1.2,0.4
199409월,2.5,19.1,2.0,6.4,7.9,1.3,0.5
199410월,2.8,21.6,2.2,6.5,7.9,1.4,-0.3
199411월,3.4,20.9,2.9,8.5,10.6,1.6,-0.8
199412월,3.4,16.2,3.0,10.6,13.2,1.2,-1.4
199501월,4.0,31.6,3.2,11.5,15.1,-0.5,-4.3
199502월,4.2,25.4,3.5,11.4,14.9,-0.3,-3.0
199503월,4.1,25.9,3.4,11.0,14.2,0.6,-3.6
199504월,3.0,16.7,2.6,10.9,13.5,1.7,-0.4
199505월,2.1,12.3,1.7,9.3,11.5,1.4,-1.4
199506월,1.8,14.4,1.3,7.4,9.0,1.2,2.3
199507월,0.3,15.2,-0.2,4.6,5.5,0.7,1.4
199508월,-0.2,11.3,-0.6,2.2,2.8,-0.8,-0.4
199509월,0.9,5.5,0.6,2.4,3.3,-1.9,-0.7
199510월,-0.9,7.2,-1.1,1.2,1.9,-2.2,1.1
199511월,-1.3,0.5,-1.4,-0.4,0.1,-2.4,-0.8
199512월,-1.0,0.9,-1.2,-0.5,-0.1,-2.4,0.8
199601월,-0.7,-7.6,-0.6,-0.1,-0.3,-0.4,5.8
199602월,-1.9,-5.7,-1.9,-2.6,-3.1,-1.8,1.7
199603월,-3.5,-5.9,-3.5,-4.0,-4.4,-3.1,-0.6
199604월,-4.5,-3.8,-4.5,-3.3,-2.9,-4.7,-5.1
199605월,-7.0,-0.4,-7.1,-3.7,-3.3,-4.9,-4.7
199606월,-7.2,0.5,-7.3,-2.6,-2.1,-4.2,-4.5
199607월,-4.8,-2.0,-4.9,0.5,1.2,-2.3,-0.5
199608월,-4.8,3.4,-4.9,2.5,2.9,0.6,2.8
199609월,-5.6,9.4,-5.8,3.7,4.2,1.6,4.4
199610월,-3.7,2.9,-3.8,5.5,6.6,1.6,2.9
199611월,-3.5,12.4,-3.7,6.5,7.7,1.3,6.4
199612월,-3.5,6.1,-3.6,6.9,8.1,1.9,7.1
199701월,-4.1,10.8,-4.3,6.7,8.2,1.3,1.8
199702월,-1.5,8.8,-1.7,8.4,10.0,2.3,5.0
199703월,0.4,1.7,0.4,8.1,9.7,2.3,4.0
199704월,4.1,0.4,4.1,8.1,9.2,4.0,6.4
199705월,7.0,-1.0,7.1,9.0,10.1,4.8,7.1
199706월,7.2,7.0,7.2,8.9,9.8,5.6,6.8
199707월,4.0,5.1,4.0,5.2,6.0,3.0,1.9
199708월,3.8,-3.5,3.9,4.8,6.0,0.7,0.2
199709월,4.2,-2.3,4.3,4.0,4.8,1.3,-1.2
199710월,3.9,-4.4,4.0,4.8,5.7,2.4,0.1
199711월,8.7,-1.8,8.8,9.5,10.5,6.5,5.3
199712월,42.7,29.6,42.9,35.3,37.6,29.0,21.2
199801월,75.4,42.9,75.9,57.7,60.9,48.0,41.8
199802월,65.6,42.0,65.9,53.9,55.9,49.0,39.2
199803월,57.1,41.6,57.3,49.0,50.4,45.8,37.9
199804월,35.7,27.7,35.8,34.3,35.0,32.2,30.3
199805월,32.7,27.9,32.7,31.9,32.5,29.7,31.2
199806월,32.1,17.1,32.3,30.1,30.5,28.7,29.9
199807월,27.2,13.7,27.4,26.5,26.4,26.6,27.2
199808월,20.6,12.7,20.7,20.2,19.1,24.2,25.7
199809월,25.1,5.5,25.4,24.0,22.7,28.3,30.0
199810월,26.9,14.2,27.1,25.6,24.2,29.9,33.0
199811월,16.4,8.1,16.5,15.3,13.0,23.8,21.9
199812월,-17.9,-15.1,-17.9,-14.5,-17.8,-1.5,-4.0
199901월,-35.7,-25.7,-35.8,-29.8,-33.5,-15.0,-15.8
199902월,-34.2,-22.5,-34.3,-29.9,-33.5,-16.2,-17.2
199903월,-28.6,-21.1,-28.7,-24.6,-27.8,-13.5,-12.0
199904월,-19.3,-12.2,-19.4,-15.4,-17.8,-6.7,-6.3
199905월,-18.9,-9.6,-19.0,-14.0,-15.9,-6.6,-9.8
199906월,-19.9,-4.4,-20.1,-14.3,-15.9,-8.3,-10.4
199907월,-16.1,-4.1,-16.2,-9.9,-10.7,-6.9,-7.2
199908월,-7.4,4.0,-7.6,-0.1,0.3,-1.6,-2.3
199909월,-10.8,12.7,-11.1,-1.9,-0.8,-5.4,-5.1
199910월,-9.6,9.9,-9.9,-1.5,0.0,-6.1,-6.8
199911월,-7.1,12.5,-7.4,1.8,4.1,-5.6,-6.2
199912월,-3.7,10.6,-3.9,7.5,11.0,-4.7,0.0
200001월,2.9,14.8,2.8,12.0,17.2,-4.4,0.6
200002월,2.0,8.0,2.0,15.2,21.5,-5.2,4.0
200003월,-3.3,0.8,-3.3,11.6,17.1,-6.7,0.4
200004월,-4.3,1.0,-4.3,6.5,10.4,-6.3,-3.4
200005월,-1.5,-1.2,-1.5,8.7,12.6,-4.9,1.1
200006월,1.9,-12.9,2.1,12.0,16.2,-2.9,3.9
200007월,3.7,-13.1,3.9,9.8,13.3,-3.4,3.4
200008월,0.5,-16.1,0.7,4.0,6.8,-6.7,-0.9
200009월,-0.5,-15.1,-0.3,4.3,6.9,-6.4,-0.2
200010월,-6.0,-16.5,-5.9,1.5,3.6,-7.6,-2.6
200011월,-6.7,-17.4,-6.5,3.5,5.5,-5.3,0.7
